epoch,step,train_loss,val_loss
0,49,0.2985367476940155,
0,71,,0.2164863497018814
1,99,0.14889182150363922,
1,143,,0.12259963154792786
2,149,0.12132924795150757,
2,199,0.1021060198545456,
2,215,,0.10857219994068146
3,249,0.10311639308929443,
3,287,,0.10415148735046387
4,299,0.09997833520174026,
4,349,0.090703085064888,
4,359,,0.10098112374544144
5,399,0.09203802049160004,
5,431,,0.09929952025413513
6,449,0.09346611797809601,
6,499,0.09199763089418411,
6,503,,0.09570453315973282
7,549,0.10995261371135712,
7,575,,0.09262992441654205
8,599,0.08973200619220734,
8,647,,0.08996432274580002
9,649,0.06683182716369629,
9,699,0.06539653986692429,
9,719,,0.0880570188164711
10,749,0.08052660524845123,
10,791,,0.08690141141414642
11,799,0.08717107027769089,
11,849,0.07203622162342072,
11,863,,0.08791626989841461
12,899,0.10490358620882034,
12,935,,0.08984410017728806
13,949,0.07514087110757828,
13,999,0.10351728647947311,
13,1007,,0.09063244611024857
14,1049,0.06910372525453568,
