id,smiles
propanal,CCC=O
sphing-4-enine 1-phosphate,CCCCCCCCCCCCCC=CC(O)C(N)COP(=O)(O)O
indole-3-carbaldehyde,O=Cc1c[nH]c2ccccc12
enol-oxaloacetate,O=C(O)C=C(O)C(=O)O
"2,4,7,9-tetrahydroxy-6-methyl-8-(2-methylbut-3-en-2-yl)-1-oxo-1H-phenalen-3-ol",C=CC(C)(C)c1c(O)c2c3c(c(O)cc(C)c3c1O)C(O)=C(O)C2=O
17beta-estradiol 3-sulfate,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O
toralactone,COc1cc(O)c2c(O)c3c(=O)oc(C)cc3cc2c1
enolpyruvoyl-2-diphospho-5'-guanosine,C=C(OP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(=O)[nH]c(N)nc32)C(O)C1O)C(=O)O
"3-(3,4-dihydroxyphenyl)pyruvate",O=C(O)C(=O)Cc1ccc(O)c(O)c1
"14-oxo-(4Z,7Z,10Z,12E,16Z,19Z)-docosahexaenoate",CCC=CCC=CCC(=O)C=CC=CCC=CCC=CCCC(=O)O
scopoletin,COc1cc2ccc(=O)oc2cc1O
(2-aminoethyl)phosphonate,NCCP(=O)(O)O
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycerol,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCC
O-succinyl-L-serine,NC(COC(=O)CCC(=O)O)C(=O)O
1-O-(1Z-octadecenyl)-sn-glycero-3-phospho-N-hexadecanoyl-ethanolamine,CCCCCCCCCCCCCCCCC=COCC(O)COP(=O)(O)OCCNC(=O)CCCCCCCCCCCCCCC
phloretin,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
17-hydroxy-3-oxochol-4-en-22-oyl-CoA,CC(C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
11-dehydrocorticosterone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C(C(=O)CO)CCC12
cyathatriol,CC(C)C1=C2C3CC(O)C(CO)=CC(O)C3(C)CCC2(C)CC1
"7alpha,12alpha-dihydroxy-3-oxo-5beta-cholan-24-oate",CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C
2-(9Z-octadecenoyl)-glycerol,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)CO
pentadecane,CCCCCCCCCCCCCCC
"(13S,14R)-1,13-dihydroxy-N-methylcanadine",COc1ccc2c(c1OC)C[N+]1(C)CCc3cc4c(c(O)c3C1C2O)OCO4
3-hydroxybenzaldehyde,O=Cc1cccc(O)c1
6-O-desmethylmycophenolate,CC(=CCc1c(O)c(C)c2c(c1O)C(=O)OC2)CCC(=O)O
"(11R)-hydroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate",CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O
UDP-2-acetamido-2-deoxy-alpha-D-glucuronate,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(C(=O)O)C(O)C1O
3-hydroxyindolin-2-one,O=C1Nc2ccccc2C1O
2-(9Z-octadecenoyl)-sn-glycero-3-phospho-1D-myo-inositol,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
N(2)-(1-hydroxy-2-oxoethyl)-GTP,O=CC(O)Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
4-methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)O
"(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate",CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)OO
"4-(2,4-dichlorophenoxy)butanoyl-L-glutamine",NC(=O)CCC(NC(=O)CCCOc1ccc(Cl)cc1Cl)C(=O)O
(2S)-[(R)-hydroxy(phenyl)methyl]succinyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)O)C(O)c1ccccc1
dodecan-1-ol,CCCCCCCCCCCCO
4-methyl-5-oxo-octanedioyl-CoA,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)CCC(=O)O
acetyl-AMP,CC(=O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
norrubrofusarin,Cc1cc(=O)c2c(O)c3c(O)cc(O)cc3cc2o1
(R)-nephthenol,CC1=CCCC(C)=CCC(C(C)(C)O)CCC(C)=CCC1
L-methionine sulfoximine,CS(=N)(=O)CCC(N)C(=O)O
"UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altrose",CC(=O)NC1C(C)OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(NC(C)=O)C1O
heptan-2-one,CCCCCC(C)=O
(R)-lipoate,O=C(O)CCCCC1CCSS1
sabinene,C=C1CCC2(C(C)C)CC12
"1,2-di-(9Z)-octadecenoyl-3-hexadecanoyl-sn-glycerol",CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
heptan-4-one,CCCC(=O)CCC
SB-203208,CCC(C)C(N)C(=O)NS(=O)(=O)CC(=O)NC1(C(=O)O)C(OC(=O)C(N)C(C)c2ccccc2)CC2C(C(N)=O)=CN(C)CC21
vomilenine,CC=C1C2CC3C4=Nc5ccccc5C45CC(C2C5OC(C)=O)N3C1O
ubiquinol-10,COc1c(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c(O)c1OC
"(20S)-19,20-dihydrovomilenine",CCC1C2CC3C4=Nc5ccccc5C45CC(C2C5OC(C)=O)N3C1O
(2E)-hexadecenoyl-CoA,CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
(indol-3-yl)butanoyl-L-cysteine,O=C(CCCc1c[nH]c2ccccc12)NC(CS)C(=O)O
N-(9Z-octadecenoyl)-L-lysine,CCCCCCCCC=CCCCCCCCC(=O)NC(CCCCN)C(=O)O
"(12E)-9alpha-labda-8(17),12,14-triene",C=CC(C)=CCC1C(=C)CCC2C(C)(C)CCCC12C
20beta-dihydrocortisol,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO
"quercetin 3,7-bis-O-alpha-L-rhamnoside",CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(C)C(O)C(O)C4O)c(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1O
"1-(1Z-octadecenyl)-2-(5Z,8Z,11Z,14Z- eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine",CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC=CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN
4beta-methylzymosterol-4alpha-carbaldehyde,CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)(C=O)C1CC3
aminomethylphosphonate,NCP(=O)(O)O
(2E)-3-methyl-5-phosphooxypent-2-enoate,CC(=CC(=O)O)CCOP(=O)(O)O
nocamycin E,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC23OC(C(=O)CC2(C)OC(C)C3C(=O)O)C1C
L-valine,CC(C)C(N)C(=O)O
cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
L-propargylglycine,C#CCC(N)C(=O)O
beta-copaene,C=C1CCC2C3C(C(C)C)CCC2(C)C13
"(5Z,8Z,11Z,14Z)-eicosatetraenoate",CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
(3R)-vestitone,COc1ccc(C2COc3cc(O)ccc3C2=O)c(O)c1
D-arabinose 5-phosphate,O=CC(O)C(O)C(O)COP(=O)(O)O
2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C
staphylopine,CC(NC(CCNC(Cc1c[nH]cn1)C(=O)O)C(=O)O)C(=O)O
"(5'S,6'R)-C-glycyluridine",NC(C(=O)O)C(O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O
1-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol),CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO
3-oxotetracosanoyl-CoA,CCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
sartorypyrone A,C=C1CCC(OC(C)=O)C(C)(C)C1CCC(C)=CCCC(C)=CCc1c(O)cc(C)oc1=O
beta-alanyl-dopamine,NCCC(=O)NCCc1ccc(O)c(O)c1
octanoyl-CoA,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
(E)-beta-ocimene,C=CC(C)=CCC=C(C)C
(11R)-hydroxymethyl carlactonoate,CC1=CC(OC=C(C=CC2=C(C)CCCC2(C)C)C(=O)OCO)OC1=O
phosphoethanolamine,NCCOP(=O)(O)O
colleterpenol,CC(C)=CCCC(C)=CCCC(C)(O)C1CC=C(C)CCC=C(C)CCC=C(C)CC1
"N(alpha),N(alpha)-dimethyl-L-tryptophan",CN(C)C(Cc1c[nH]c2ccccc12)C(=O)O
uridine-5'-aldehyde,O=CC1OC(n2ccc(=O)[nH]c2=O)C(O)C1O
2-methoxybenzaldehyde,COc1ccccc1C=O
"(9Z,12Z)-octadecadienoate",CCCCCC=CCC=CCCCCCCCC(=O)O
"N,N-dimethylmescaline",COc1cc(CCN(C)C)cc(OC)c1OC
cimicifugate D,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)(Cc1ccc(O)cc1)C(=O)O
N-eicosanoyl-3-oxosphinganine,CCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(=O)CCCCCCCCCCCCCCC
5'-phosphoguanylyl(3'->5')guanosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OC3C(COP(=O)(O)O)OC(n4cnc5c(=O)[nH]c(N)nc54)C3O)C(O)C2O)c(=O)[nH]1
"5alpha-androstan-3,17-dione",CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O
"N-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-glycine",CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O
levoglucosan,OC1C2COC(O2)C(O)C1O
naphtopyrone YWA1,CC1(O)CC(=O)c2c(cc3cc(O)cc(O)c3c2O)O1
uracil,O=c1cc[nH]c(=O)[nH]1
orobanchol,CC1=CC(OC=C2C(=O)OC3C4=C(CCCC4(C)C)C(O)C23)OC1=O
"(S,S)-drim-8-en-11-yl phosphate",CC1=C(COP(=O)(O)O)C2(C)CCCC(C)(C)C2CC1
N-acetyl-L-aspartyl-L-glutamyl-L-glutamate,CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O
4-hydroxybutanoate,O=C(O)CCCO
(E)-sinapaldehyde,COc1cc(C=CC=O)cc(OC)c1O
amicoumacin A 2-phosphate,CC(C)CC(NC(=O)C(OP(=O)(O)O)C(O)C(N)CC(N)=O)C1Cc2cccc(O)c2C(=O)O1
6-methylsalicylate,Cc1cccc(O)c1C(=O)O
(2R)-2-O-[6-O-octanoyl-alpha-D-glucopyranosyl-(1->6)-alpha-D-glucopyranosyl-(1->2)]-glycerate,CCCCCCCC(=O)OCC1OC(OCC2OC(OC(CO)C(=O)O)C(O)C(O)C2O)C(O)C(O)C1O
xanthine,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
D-ribulose 1-phosphate,O=C(COP(=O)(O)O)C(O)C(O)CO
geranate,CC(C)=CCCC(C)=CC(=O)O
N-acetyl-S-benzyl-L-cysteine,CC(=O)NC(CSCc1ccccc1)C(=O)O
chrodrimanin A,CC1OC(=O)c2c(O)cc3c(c2C1O)CC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C1(C)O3
4-CDP-2-C-methyl-D-erythritol 2-phosphate,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
deoxyherqueinone,COC1=C(O)c2c(O)cc(C)c3c4c(c(O)c(c23)C1=O)C(C)(C)C(C)O4
3-oxopropane-1-sulfonate,O=CCCS(=O)(=O)O
(R)-lactate,CC(O)C(=O)O
1-O-(1Z-octadecenyl)-sn-glycero-3-phosphate,CCCCCCCCCCCCCCCCC=COCC(O)COP(=O)(O)O
N-acetyl-L-valine,CC(=O)NC(C(=O)O)C(C)C
alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)-beta-D-Gal-(1->4)-6S-D-GlcNAc,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(CO)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C(O)C2O)C1O
