id,smiles
delphinidin 3-O-beta-D-glucoside,O=c1cc(O)cc2oc(-c3cc(O)c(O)c(O)c3)c(OC3OC(CO)C(O)C(O)C3O)cc1-2
enol-oxaloacetate,O=C(O)C=C(O)C(=O)O
"N,N-dimethyl-4-hydroxy-3,5-dimethoxyphenethylamine",COc1cc(CCN(C)C)cc(OC)c1O
"(15R)-hydroxy-(5Z,8Z,11Z,13E,17Z)-eicosapentaenoate",CCC=CCC(O)C=CC=CCC=CCC=CCCCC(=O)O
stromemycin aglycone,CCCCC=CC=CCc1cc(OC(=O)c2c(O)cc(O)cc2CC=CC=CCCCC)cc(O)c1C(=O)O
apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycerol,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCC
octacosanoyl-CoA,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
L-canavanine,N=C(N)NOCCC(N)C(=O)O
dihydroferulate,COc1cc(CCC(=O)O)ccc1O
"N,N-dimethyl-3,4-dihydroxy-5-methoxyphenethylamine",COc1cc(CCN(C)C)cc(O)c1O
5-hydroxymethyluracil,O=c1[nH]cc(CO)c(=O)[nH]1
UDP-4-dehydro-6-deoxy-alpha-D-glucose,CC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C(O)C1=O
2-(9Z-octadecenoyl)-glycerol,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)CO
3-oxopresphingofungin,CCCCCCCC=CCCCCC=CC(O)CC(=O)C(N)C(=O)O
spermidine,NCCCCNCCCN
"15-deoxy-Delta(12,14)-prostaglandin J2",CCCCCC=CC=C1C(=O)C=CC1CC=CCCCC(=O)O
5-deoxy-alpha-D-ribose 1-phosphate,CC1OC(OP(=O)(O)O)C(O)C1O
6-O-desmethylmycophenolate,CC(=CCc1c(O)c(C)c2c(c1O)C(=O)OC2)CCC(=O)O
prostaglandin F2alpha,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
