Name	Reactants	SMARTS	Products
1816_0	Any;NAD_CoF;Any	[#6;$([#6&!R](-[#6&!R])=[#8&!R]);!$([#6&!R](-[#6&!R](-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])=[#8&!R]):1].[#6:2]1:[#6:3]:[#6:4]:[#6:5]:[#7+:6]:[#6:7]:1.[#8:8]>>[#6:1]-[#8:8].[#6:2]1=[#6:7]-[#7+0:6]-[#6:5]=[#6:4]-[#6:3]-1	Any;NADH_CoF
1816_1	Any;NAD_CoF;WATER	[#6;$([#6&!R](-[#6&!R])=[#8&!R]);!$([#6&!R](-[#6&!R](-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])=[#8&!R]):1].[#6:2]1:[#6:3]:[#6:4]:[#6:5]:[#7+:6]:[#6:7]:1.[#8:8]>>[#6:1]-[#8:8].[#6:2]1=[#6:7]-[#7+0:6]-[#6:5]=[#6:4]-[#6:3]-1	Any;NADH_CoF
618_0	Any	([#6;$([#6&!R]-&!@[#6&!R]);!$([#6&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])=&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]):1]-[#8:2].[#6:3]-[#8:4])>>([#6:1].[#6:3]=[#8:4]).[#8:2]	Any;Any
618_1	Any	([#6;$([#6&!R]-&!@[#6&!R]);!$([#6&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])=&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]):1]-[#8:2].[#6:3]-[#8:4])>>([#6:1].[#6:3]=[#8:4]).[#8:2]	Any;WATER
3504_0	Any;Any	[#8;!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])-&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]):1].[#8;!$([#8&!R](-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):2]-[#15;$([#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#15&!R](-[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(=[#8&!R])(-[#8&!R])-[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R]);!$([#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#8&!R]-&!@[#6&!R]=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):3]>>[#8:2].[#8:1]-[#15:3]	Any;Any
3504_1	Any;Any	[#8;!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])-&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]):1].[#8;!$([#8&!R](-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):2]-[#15;$([#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#15&!R](-[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(=[#8&!R])(-[#8&!R])-[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R]);!$([#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#8&!R]-&!@[#6&!R]=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):3]>>[#8:2].[#8:1]-[#15:3]	WATER;Any
3504_2	Any;GLUCOSYL_ACCEPTOR_CoF	[#8;!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])-&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]):1].[#8;!$([#8&!R](-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):2]-[#15;$([#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#15&!R](-[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(=[#8&!R])(-[#8&!R])-[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R]);!$([#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#8&!R]-&!@[#6&!R]=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):3]>>[#8:2].[#8:1]-[#15:3]	Any;GLUCOSYL_DONOR_CoF
3504_3	Any;GLUCOSYL_ACCEPTOR_CoF	[#8;!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])-&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]):1].[#8;!$([#8&!R](-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):2]-[#15;$([#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#15&!R](-[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(=[#8&!R])(-[#8&!R])-[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R]);!$([#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#8&!R]-&!@[#6&!R]=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):3]>>[#8:2].[#8:1]-[#15:3]	WATER;GLUCOSYL_DONOR_CoF
3504_4	Any;GLUCOSYL_DONOR_CoF	[#8;!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])-&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]):1].[#8;!$([#8&!R](-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):2]-[#15;$([#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#15&!R](-[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(=[#8&!R])(-[#8&!R])-[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R]);!$([#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#8&!R]-&!@[#6&!R]=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):3]>>[#8:2].[#8:1]-[#15:3]	Any;GLUCOSYL_ACCEPTOR_CoF
3504_5	Any;PHOSPHATE_ACCEPTOR_CoF	[#8;!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])-&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]):1].[#8;!$([#8&!R](-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):2]-[#15;$([#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#15&!R](-[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(=[#8&!R])(-[#8&!R])-[#8&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R]);!$([#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R])-&!@[#8&!R]-&!@[#6&!R]=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]):3]>>[#8:2].[#8:1]-[#15:3]	Any;PHOSPHATE_DONOR_CoF
