template,rxn_id
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]~[*:5](~[O&D1&v2&H1&0*&!R:6])~[*:7](~[O&D1&v2&H0&0*&!R:8])~[O&D1&v2&H1&0*&!R:9]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:8]~[*:7](~[O&D1&v2&H1&0*&!R:9])~[*:5](~[O&D1&v2&H1&0*&!R:6])~[C&D2&v4&H2&0*&!R&z1:4],['10184']
[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D3&v4&H0&0*&!R&z1:3](=[O&D1&v2&H0&0*&!R:4])-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4].[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6],"['10213', '5645']"
[O&D1&v2&H0&0*&!R:1]~[*:2](~[O&D1&v2&H1&0*&!R:3])~[C&D2&v4&H2&0*&!R&z0:4]-[C&D2&v4&H2&0*&!R&z0:5]-[C&D3&v4&H0&0*&!R&z1:6](=[O&D1&v2&H0&0*&!R:7])-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9].[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H1&0*&!R&z1:6]-[C&D2&v4&H2&0*&!R&z0:5]-[C&D2&v4&H2&0*&!R&z0:4]~[*:2](~[O&D1&v2&H0&0*&!R:1])~[O&D1&v2&H1&0*&!R:3],['10234']
[C&D2&v4&H2&0*&!R&z0:1]~[*:2]~[C&D3&v4&H0&0*&!R&z1:3](=[O&D1&v2&H0&0*&!R:4])-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z0:1]~[*:2]~[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4].[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6],['10268']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[c&D3&v4&H0&0*&R&z0:4]1:[*:5]:[c&D3&v4&H0&0*&R&z1:6](-[O&D1&v2&H1&0*&!R:7]):[*:8](~[O&D1&v2&H1&0*&!R:9]):[c&D2&v4&H1&0*&R&z0:10]:[*:11]:1~[*:12]~[O&D1&v2&H0&0*&!R:13]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:13]~[*:12]~[*:11]1:[c&D2&v4&H1&0*&R&z0:4]:[*:5]:[c&D3&v4&H0&0*&R&z1:6](-[O&D1&v2&H1&0*&!R:7]):[*:8](~[O&D1&v2&H1&0*&!R:9]):[c&D2&v4&H1&0*&R&z0:10]:1,['10549']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z0:4](:[c&D2&v4&H1&0*&R&z1:5]):[*:6]:[c&D2&v4&H1&0*&R&z0:7])-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z0:4](:[c&D2&v4&H1&0*&R&z1:5]):[*:6]:[c&D2&v4&H1&0*&R&z0:7].[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9],"['10634', '7342']"
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[c&D3&v4&H0&0*&R&z1:4](:[*:5]:[c&D3&v4&H0&0*&R&z2:6]=[O&D1&v2&H0&0*&!R:7]):[*:8]~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:7]=[c&D3&v4&H0&0*&R&z2:6]:[*:5]:[c&D2&v4&H1&0*&R&z1:4]:[*:8]~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11],['1067']
[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2](-[N&D1&v3&H2&0*&!R:3])-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6]>>[N&D1&v3&H2&0*&!R:3]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:1].[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5],"['11336', '16650']"
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z1:3]~[*:4]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[O&D1&v2&H1&0*&!R:7])-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3]~[*:4]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[O&D1&v2&H1&0*&!R:7].[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9],['11349']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z0:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])~[O&D1&v2&H1&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7](=[O&D1&v2&H0&0*&!R:8])-[O&D1&v2&H1&0*&!R:9]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])~[O&D1&v2&H1&0*&!R:6].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:7]=[O&D1&v2&H0&0*&!R:8],['1162']
