Name	Reactants	SMARTS	Products
2612_0	Any	[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4](-[O&D1&v2&H1&0*&!R:5])-[C&D3&v4&H1&0*&!R&z1:6](-[O&D1&v2&H1&0*&!R:7])-[C&D3&v4&H1&0*&!R&z1:8](-[O&D1&v2&H1&0*&!R:9])-[C&D3&v4&H1&0*&!R&z1:10]-[O&D1&v2&H1&0*&!R:11]>>[O&D0&v2&H2&0*&!R:7].[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z0:6]-[C&D3&v4&H1&0*&!R&z1:8](-[O&D1&v2&H1&0*&!R:9])-[C&D3&v4&H1&0*&!R&z1:10]-[O&D1&v2&H1&0*&!R:11]	WATER;Any
2_0	Any;Any	[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[O&D1&v2&H0&0*&!R:7]=[P&D4&v5&H0&0*&!R:8](-[O&D1&v2&H1&0*&!R:9])(-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:12](-[O&D1&v2&H1&0*&!R:13])-[O&D1&v2&H1&0*&!R:14]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:9].[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])(-[O&D1&v2&H1&0*&!R:6])-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:7])(-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:12](-[O&D1&v2&H1&0*&!R:13])-[O&D1&v2&H1&0*&!R:14]	Any;Any
516_0	WATER;Any	[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z1:3]-[C&D3&v4&H1&0*&R&z1:4]-[C&D3&v4&H1&0*&R&z1:5](-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7](=[O&D1&v2&H0&0*&!R:8])(-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:10])-[C&D3&v4&H1&0*&R&z1:11]>>[C&D3&v4&H1&0*&R&z1:4](-[C&D3&v4&H1&0*&R&z1:5](-[O&D1&v2&H1&0*&!R:1])-[C&D3&v4&H1&0*&R&z1:11])-[C&D3&v4&H1&0*&R&z1:3]-[O&D2&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:8]=[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])(-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]	Any;Any
6_0	Any;Any;PHOSPHATE_ACCEPTOR_CoF	[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:6])(-[O&D1&v2&H1&0*&!R:7])-[O&D1&v2&H1&0*&!R:8].[P&D4&v5&H0&0*&!R:9](-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:12](=[O&D1&v2&H0&0*&!R:13])(-[O&D1&v2&H1&0*&!R:14])-[O&D1&v2&H1&0*&!R:15]>>[O&D0&v2&H2&0*&!R:3].[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:9](-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:12](=[O&D1&v2&H0&0*&!R:13])(-[O&D1&v2&H1&0*&!R:15])-[O&D2&v2&H0&0*&!R:14]-[P&D4&v5&H0&0*&!R:5](=[O&D1&v2&H0&0*&!R:4])(-[O&D1&v2&H1&0*&!R:7])-[O&D1&v2&H1&0*&!R:8]	WATER;Any;PHOSPHATE_DONOR_CoF
7_0	WATER;Any	[O&D0&v2&H2&0*&!R:1].[c&D2&v4&H1&0*&R&z0:2]:[c&D3&v4&H0&0*&R&z1:3](-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5](=[O&D1&v2&H0&0*&!R:6])(-[O&D1&v2&H1&0*&!R:7])-[O&D1&v2&H1&0*&!R:8]):[c&D2&v4&H1&0*&R&z0:9]>>[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:4])(-[O&D1&v2&H1&0*&!R:7])-[O&D1&v2&H1&0*&!R:8].[c&D2&v4&H1&0*&R&z0:2]:[c&D3&v4&H0&0*&R&z1:3](-[O&D1&v2&H1&0*&!R:1]):[c&D2&v4&H1&0*&R&z0:9]	Any;Any
715_0	Any;AMINO_CoF	[C&D3&v4&H0&0*&R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H1&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:5]-[C&D3&v4&H1&0*&!R&z1:6]-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8]>>[C&D3&v4&H0&0*&!R&z1:6](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8].[C&D3&v4&H1&0*&R&z1:1](-[N&D1&v3&H2&0*&!R:5])-[C&D3&v4&H1&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:4]	CARBONYL_CoF;Any
715_1	Any;Any	[C&D3&v4&H0&0*&R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H1&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:5]-[C&D3&v4&H1&0*&!R&z1:6]-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8]>>[C&D3&v4&H0&0*&!R&z1:6](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8].[C&D3&v4&H1&0*&R&z1:1](-[N&D1&v3&H2&0*&!R:5])-[C&D3&v4&H1&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:4]	Any;Any
9_0	Any	[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4])-[C&D3&v4&H1&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6]>>[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3]-[C&D3&v4&H1&0*&!R&z1:2](-[O&D1&v2&H1&0*&!R:1])-[C&D3&v4&H1&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6]	Any
10_0	Any;Any	[O&D2&v2&H0&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[S&D1&v2&H1&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[S&D2&v2&H0&0*&!R:4].[O&D1&v2&H1&0*&!R:1]	Any;Any
11_0	SULFATE_ACCEPTOR_CoF;Any	[P&D4&v5&H0&0*&!R:1](=[O&D1&v2&H0&0*&!R:2])(-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[c&D2&v4&H1&0*&R&z0:5]:[c&D3&v4&H0&0*&R&z1:6](-[O&D2&v2&H0&0*&!R:7]-[S&D4&v6&H0&0*&!R:8]-[O&D1&v2&H1&0*&!R:9]):[c&D3&v4&H0&0*&R&z1:10]>>[P&D4&v5&H0&0*&!R:1](=[O&D1&v2&H0&0*&!R:2])(-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&!R:7]-[S&D4&v6&H0&0*&!R:8]-[O&D1&v2&H1&0*&!R:9].[c&D2&v4&H1&0*&R&z0:5]:[c&D3&v4&H0&0*&R&z1:6](-[O&D1&v2&H1&0*&!R:3]):[c&D3&v4&H0&0*&R&z1:10]	SULFATE_DONOR_CoF;Any
