Name	Reactants	SMARTS	Products
549_0	Any;WATER	[#6:1]#[#7:2].[#8:3]>>[#7:2]-[#6:1]=[#8:3]	Any
549_1	HCN;WATER	[#6:1]#[#7:2].[#8:3]>>[#7:2]-[#6:1]=[#8:3]	Any
785_0	Any;WATER	[#6:1]#[#7:2].[#8:3]>>[#6:1]=[#7:2]-[#8:3]	Any
747_0	Any;Any;O2	[#16:1].[#16:2].[#8:3]=[#8:4]>>[#16:1]-[#16:2].[#8:3]-[#8:4]	Any;H2O2
225_0	Any;H2O2	[#16:1]-[#16:2].[#8:3]-[#8:4]>>[#16:1].[#16:2].[#8:3]=[#8:4]	Any;Any;O2
412_0	Any	([#8:1].[#6:2]=[#6:3])>>[#6:2]-[#6:3]-[#8:1]	Any
680_0	Any;H2O2	[#6:1]=[#7:2].[#8:3]-[#8:4]>>[#6:1]-[#7:2].[#8:3]=[#8:4]	Any;O2
139_0	ACETYL-COA;Any	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	CoA;Any
139_1	ACETYL-COA;Pi	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	CoA;Any
139_2	ACETYL-COA;WATER	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	CoA;Any
139_3	Any;Any	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	Any;Any
139_4	Any;Any	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	CoA;Any
139_5	Any;GLUCOSYL_ACCEPTOR_CoF	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	Any;GLUCOSYL_DONOR_CoF
139_6	Any;PPI	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	Any;Any
139_7	Any;Pi	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	Any;Any
139_8	Any;Pi	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	CoA;Any
139_9	Any;WATER	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	Any;Any
139_10	Any;WATER	[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3]	CoA;Any
559_0	Any;Any	[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#8:8]>>[#6:7]-[#8:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1	Any;Any
559_1	Any;CO2	[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#8:8]>>[#6:7]-[#8:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1	Any;Any
559_2	NADH_CoF;Any	[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#8:8]>>[#6:7]-[#8:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1	Any;NAD_CoF
559_3	NADH_CoF;CO2	[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#8:8]>>[#6:7]-[#8:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1	Any;NAD_CoF
316_0	ACETYL-COA;Any	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	CoA;Any
316_1	Any;Any	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	Any;Any
316_2	Any;Any	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	Any;NH3
316_3	Any;FORMYL_ACCEPTOR_CoF	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	FORMYL_DONOR_CoF;Any
316_4	Any;NH3	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	Any;Any
316_5	CoA;Any	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	ACETYL-COA;Any
316_6	FORMYL_DONOR_CoF;Any	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	Any;FORMYL_ACCEPTOR_CoF
316_7	FORMYL_DONOR_CoF;FORMYL_ACCEPTOR_CoF	[#6:1]-[#7:2].[#7:3]>>[#6:1]-[#7:3].[#7:2]	FORMYL_DONOR_CoF;FORMYL_ACCEPTOR_CoF
175_0	Any;Any	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;Any
175_1	Any;Any	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;PPI
175_2	Any;Any	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;Pi
175_3	Any;Any	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;WATER
175_4	Any;FORMYL_ACCEPTOR_CoF	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	FORMYL_DONOR_CoF;WATER
175_5	Any;NH3	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;Pi
175_6	Any;NH3	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;WATER
175_7	CO3;NH3	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;WATER
175_8	GLUCOSYL_DONOR_CoF;Any	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;GLUCOSYL_ACCEPTOR_CoF
175_9	PRENYL_DONOR_CoF;Any	[#6:1]-[#8:2].[#7:3]>>[#6:1]-[#7:3].[#8:2]	Any;PRENYL_ACCEPTOR_CoF
347_0	ACETYL-COA;Any	[#6:1]-[#16:2].[#7:3]>>[#16:2].[#6:1]-[#7:3]	CoA;Any
347_1	Any;Any	[#6:1]-[#16:2].[#7:3]>>[#16:2].[#6:1]-[#7:3]	Any;Any
347_2	Any;Any	[#6:1]-[#16:2].[#7:3]>>[#16:2].[#6:1]-[#7:3]	CoA;Any
124_0	Any;Any	[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16:1].[#7:3]	Any;Any
124_1	CoA;Any	[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16:1].[#7:3]	ACETYL-COA;Any
124_2	CoA;Any	[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16:1].[#7:3]	Any;Any
587_0	Any;Any	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;Any
587_1	Any;GLUCOSYL_ACCEPTOR_CoF	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	GLUCOSYL_DONOR_CoF;Any
587_2	Any;PPI	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;Any
587_3	Any;PRENYL_ACCEPTOR_CoF	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	PRENYL_DONOR_CoF;Any
587_4	Any;Pi	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;Any
587_5	Any;Pi	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;NH3
587_6	Any;WATER	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;Any
587_7	Any;WATER	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;NH3
587_8	Any;WATER	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	CO3;NH3
587_9	FORMYL_DONOR_CoF;WATER	[#6:1]-[#7:2].[#8:3]>>[#6:1]-[#8:3].[#7:2]	Any;FORMYL_ACCEPTOR_CoF
103_0	AMINO_CoF;Any	[#6:1]-[#7:2].[#6:3]=[#8:4]>>[#6:3]-[#7:2].[#6:1]=[#8:4]	Any;CARBONYL_CoF
103_1	AMINO_CoF;CARBONYL_CoF	[#6:1]-[#7:2].[#6:3]=[#8:4]>>[#6:3]-[#7:2].[#6:1]=[#8:4]	AMINO_CoF;CARBONYL_CoF
103_2	Any;Any	[#6:1]-[#7:2].[#6:3]=[#8:4]>>[#6:3]-[#7:2].[#6:1]=[#8:4]	Any;Any
103_3	Any;CARBONYL_CoF	[#6:1]-[#7:2].[#6:3]=[#8:4]>>[#6:3]-[#7:2].[#6:1]=[#8:4]	AMINO_CoF;Any
826_0	Any;Any;Any	[#16:1].[#16:2].[#6:3]-[#7:4]-[#6:5]>>[#6:3]-[#16+:1].[#6:5]-[#16+:2].[#7:4]	Any;Any;Any
826_1	METHYL_ACCEPTOR_CoF;METHYL_ACCEPTOR_CoF;Any	[#16:1].[#16:2].[#6:3]-[#7:4]-[#6:5]>>[#6:3]-[#16+:1].[#6:5]-[#16+:2].[#7:4]	METHYL_DONOR_CoF;METHYL_DONOR_CoF;Any
594_0	Any;Any;Any	[#6:1]-[#16+:2].[#6:3]-[#16+:4].[#7:5]>>[#16+0:2].[#16+0:4].[#6:1]-[#7:5]-[#6:3]	Any;Any;Any
594_1	METHYL_DONOR_CoF;METHYL_DONOR_CoF;Any	[#6:1]-[#16+:2].[#6:3]-[#16+:4].[#7:5]>>[#16+0:2].[#16+0:4].[#6:1]-[#7:5]-[#6:3]	METHYL_ACCEPTOR_CoF;METHYL_ACCEPTOR_CoF;Any
798_0	Any;Any	[#6:1]-[#16+:2].[#7:3]>>[#16+0:2].[#6:1]-[#7+:3]	Any;Any
798_1	METHYL_DONOR_CoF;Any	[#6:1]-[#16+:2].[#7:3]>>[#16+0:2].[#6:1]-[#7+:3]	METHYL_ACCEPTOR_CoF;Any
573_0	Any;Any	[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16+:1].[#7:3]	Any;Any
573_1	METHYL_ACCEPTOR_CoF;Any	[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16+:1].[#7:3]	METHYL_DONOR_CoF;Any
208_0	Any;Any	[#6:1]-[#16+:2].[#7:3]>>[#16+0:2].[#6:1]-[#7:3]	Any;Any
208_1	METHYL_DONOR_CoF;Any	[#6:1]-[#16+:2].[#7:3]>>[#16+0:2].[#6:1]-[#7:3]	METHYL_ACCEPTOR_CoF;Any
469_0	Any;Any	[#16:1].[#6:2]-[#7+:3]>>[#6:2]-[#16+:1].[#7+0:3]	Any;Any
469_1	METHYL_ACCEPTOR_CoF;Any	[#16:1].[#6:2]-[#7+:3]>>[#6:2]-[#16+:1].[#7+0:3]	METHYL_DONOR_CoF;Any
639_0	Any	([#7:1].[#6:2]-[#7:3])>>[#6:2]-[#7:1].[#7:3]	Any;Any
639_1	Any	([#7:1].[#6:2]-[#7:3])>>[#6:2]-[#7:1].[#7:3]	Any;NH3
611_0	Any	[#8:1]=[#16:2]-[#8:3]>>[#16:2].[#8:1]=[#8:3]	Any;O2
852_0	Any;O2	[#16:1].[#8:2]=[#8:3]>>[#8:2]=[#16:1]-[#8:3]	Any
261_0	Any;Any;CO2	[#6:1]-[#8:2].[#6:3]-[#8:4].[#6:5]=[#8:6]>>[#6:1].[#6:3]-[#6:5]-[#8:6].[#8:2]=[#8:4]	Any;Any;O2
298_0	Any;Any;O2	[#6:1].[#6:2]-[#6:3]-[#8:4].[#8:5]=[#8:6]>>[#6:1]-[#8:5].[#6:2]-[#8:6].[#6:3]=[#8:4]	Any;Any;CO2
517_0	Any;Any	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;Any
517_1	Any;Any	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;PPI
517_2	Any;Any	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;Pi
517_3	Any;Any	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;WATER
517_4	Any;GLUCOSYL_ACCEPTOR_CoF	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	GLUCOSYL_DONOR_CoF;Any
517_5	Any;GLUCOSYL_ACCEPTOR_CoF	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	GLUCOSYL_DONOR_CoF;Pi
517_6	Any;GLUCOSYL_ACCEPTOR_CoF	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	GLUCOSYL_DONOR_CoF;WATER
517_7	Any;H2O2	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;WATER
517_8	Any;PPI	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;Any
517_9	Any;PPI	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;WATER
517_10	Any;PRENYL_ACCEPTOR_CoF	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	PRENYL_DONOR_CoF;Any
517_11	Any;PRENYL_ACCEPTOR_CoF	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	PRENYL_DONOR_CoF;WATER
517_12	Any;Pi	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;Any
517_13	Any;Pi	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;WATER
517_14	Any;SULFATE	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;WATER
517_15	Any;WATER	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;Any
517_16	Any;WATER	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;H2O2
517_17	Any;WATER	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;PPI
517_18	Any;WATER	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;Pi
517_19	Any;WATER	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;SULFATE
517_20	GLUCOSYL_DONOR_CoF;Any	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;GLUCOSYL_ACCEPTOR_CoF
517_21	GLUCOSYL_DONOR_CoF;Pi	[#6:1]-[#8:2].[#8:3]>>[#6:1]-[#8:3].[#8:2]	Any;GLUCOSYL_ACCEPTOR_CoF
