Name	Reactants	SMARTS	Products
EVODEX.2-Bm15_0	Any	[#6:1]-[#8:40]>>[#6:1]-[#8].[#15]-[#8:40]	Any;Any
EVODEX.2-Bm33_0	Any;Any	[#8]-[#6:1].[#8:2]-[#15]>>[#8:2]-[#6:1]	Any
EVODEX.2-Bm19_0	Any;Any	[#6:1]-[#8:41].[#15:42]-[#8:2]>>[#6:1]-[#8:2].[#15:42]-[#8:41]	Any;Any
EVODEX.2-Bm24_0	Any;Any	[#6:1]-[#8].[#8:2]-[#1]>>[#6:1]-[#8:2]	Any
EVODEX.2-Bm16_0	Any;Any	[#6:1]-[#8:77]-[#1].[#8:78](-[#1])-[#1]>>[#6:1]-[#1].[#8:77]=[#8:78]	Any;Any
EVODEX.2-Bm21_0	Any	[#6:1]-[#8:15]>>[#6:1]-[#8].[#8:15]-[#1]	Any;Any
EVODEX.2-Bm9_0	Any	[#8:50]-[#1]>>[#8:50]-[#6]	Any
EVODEX.2-Bm45_0	Any	[#6]-[#8:28]>>[#8:28]-[#1]	Any
EVODEX.2-Bm46_0	Any	[#6]-[#7:5]>>[#7:5]-[#1]	Any
EVODEX.2-Bm17_0	Any;Any	([#8:4]-[#1].[#6:1]-[#8]).[#6:3]-[#8:2]>>([#6:3]-[#8:4].[#6:1]-[#8:2])	Any
EVODEX.2-Bm36_0	Any	[#7:2]-[#1].>>[#6]-[#7:2].	Any
EVODEX.2-Bm105_0	Any;Any	([#8:4]-[#1].[#6:1]-[#8:41]).[#6:3]-[#8:2]>>([#6:3]-[#8:4].[#6:1]-[#8:2]).[#8:41]-[#1]	Any;Any
EVODEX.2-Bm13_0	Any;Any	[#6:27]-[#16&+].[#8:28]-[#1]>>[#8:28]-[#6:27]	Any
EVODEX.2-Bm141_0	Any	[#8:28]-[#6:1]>>[#6:1]-[#16&+].[#8:28]-[#1]	Any;Any
EVODEX.2-Bm5_0	Any	[#6:45](-[#7])-[#1]>>[#6:45]=[#8]	Any
EVODEX.2-Bm68_0	Any	[#6:1]-[#8]>>[#7]-[#6:1]	Any
EVODEX.2-Bm100_0	Any;Any	[#6:1]=[#8:11].[#7:2]-[#1]>>[#6:1](-[#7:2])-[#1].[#8:11](-[#1])-[#1]	Any;Any
EVODEX.2-Bm11_0	Any;Any	[#6:1]-[#7].[#8:2]-[#1]>>[#6:1]-[#8:2]	Any
EVODEX.2-Bm29_0	Any;Any	[#6:1](-[#7:12])-[#1].[#8:2](-[#1])-[#1]>>[#6:1]=[#8:2].[#7:12]-[#1]	Any;Any
EVODEX.2-Bm34_0	Any;Any	[#6:27]-[#16&+:1].[#8:28]-[#1]>>[#16:1].[#8:28]-[#6:27]	Any;Any
EVODEX.2-Bm44_0	Any;Any	[#16:2].[#6:1]-[#8:28]>>[#6:1]-[#16&+:2].[#8:28]-[#1]	Any;Any
EVODEX.2-Bm58_0	Any;Any	[#6:1]=[#8].[#7:2]-[#1]>>[#6:1](-[#7:2])-[#1]	Any
EVODEX.2-Bm87_0	Any	[#6:1]-[#8:12]>>[#6:1]-[#7].[#8:12]-[#1]	Any;Any
EVODEX.2-Bm65_0	Any;Any	[#7]-[#6:11]-[#1].[#6]=[#8:12]>>[#6:11]=[#8:12]	Any
EVODEX.2-Bm71_0	Any;Any	[#6]-[#7:2].[#6:1]=[#8]>>[#7:2]-[#6:1]-[#1]	Any
EVODEX.2-Bm72_0	Any	[#6:1]=[#8:15]>>[#7]-[#6:1]-[#1].[#6]=[#8:15]	Any;Any
EVODEX.2-Bm89_0	Any;Any	[#6:2]=[#6:1].[#8:3]-[#1]>>[#6:2](-[#8:3])-[#6:1]-[#1]	Any
EVODEX.2-Bm143_0	Any	[#7:12]-[#6:1]-[#1]>>[#6:1]=[#8].[#7:12]-[#1]	Any;Any
EVODEX.2-Bm219_0	Any	[#7:2]-[#6:6]-[#1]>>[#7:2]-[#6].[#6:6]=[#8]	Any;Any
EVODEX.2-Bm129_0	Any;Any	[#6:11](-[#7:2])-[#1].[#6:1]=[#8:12]>>[#7:2]-[#6:1]-[#1].[#6:11]=[#8:12]	Any;Any
EVODEX.2-Bm25_0	Any	[#8:2]-[#6:3]>>([#8:2]-[#6].[#8]-[#6:3])	Any
EVODEX.2-Bm177_0	Any;Any	[#8]-[#15:8].[#8:7]-[#1]>>[#8:7]-[#15:8]	Any
EVODEX.2-Bm60_0	Any;Any	[#6:1]-[#8:41].[#15:42]-[#8:36]>>[#6:1]-[#8].[#8:36]-[#1].[#15:42]-[#8:41]	Any;Any;Any
EVODEX.2-Bm70_0	Any	[#8:2]=[#6:1]>>[#6:1](-[#8:2]-[#1])-[#1]	Any
EVODEX.2-Bm74_0	Any;Any;Any	[#6:1]-[#8].[#8:9]-[#1].[#15:10]-[#8:2]>>[#6:1]-[#8:2].[#8:9]-[#15:10]	Any;Any
EVODEX.2-Bm69_0	Any;Any	[#6:11]1=[#6:16]-[#7:15]-[#6:14]=[#6:13]-[#6:12]-1-[#1].[#8:2]=[#6:1]>>[#6:1](-[#8:2]-[#1])-[#1].[#6:11]1:[#6:12]:[#6:13]:[#6:14]:[#7&+:15]:[#6:16]:1	Any;Any
EVODEX.2-Bm22_0	Any	[#8:2]-[#1]>>[#8:2]-[#15]	Any
EVODEX.2-Bm59_0	Any;Any;Any	[#6:1]-[#8:41].[#8:2]-[#1].[#15:42]-[#8:36]>>[#6:1]-[#8:2].[#8:36]-[#1].[#15:42]-[#8:41]	Any;Any;Any
EVODEX.2-Bm51_0	Any	[#6:1]-[#8]>>[#6:1]-[#1]	Any
EVODEX.2-Bm1_0	Any	([#6:1]-[#8:23].[#8:2]-[#1])>>[#6:1]-[#8:2].[#8:23]-[#1]	Any;Any
EVODEX.2-Bm3_0	Any;Any	[#6:45](-[#7:52])-[#1].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7&+:3]:[#6:2]:1>>[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1-[#1].[#6:45]=[#8].[#7:52]-[#1]	Any;Any;Any
EVODEX.2-Bm14_0	Any;Any	[#6:1]-[#8:14].[#15]-[#8:2]>>[#6:1]-[#8:2].[#8:14]-[#1]	Any;Any
EVODEX.2-Bm37_0	Any;Any;Any	[#6:11]1=[#6:16]-[#7:15]-[#6:14]=[#6:13]-[#6:12]-1-[#1].[#6:1]=[#8:55].[#7:2]-[#1]>>[#7:2]-[#6:1]-[#1].[#6:11]1:[#6:12]:[#6:13]:[#6:14]:[#7&+:15]:[#6:16]:1.[#8:55](-[#1])-[#1]	Any;Any;Any
EVODEX.2-Bm40_0	Any	[#6:1]-[#1]>>[#6:1]-[#8]	Any
EVODEX.2-Bm43_0	Any;Any;Any	[#6:1]-[#8:21]-[#1].[#6:11]-[#8:22]-[#1].[#8:13]=[#6:12]>>[#6:1]-[#1].[#6:11]-[#6:12]-[#8:13]-[#1].[#8:21]=[#8:22]	Any;Any;Any
EVODEX.2-Bm61_0	Any;Any	[#6:1]-[#8].[#8:26]=[#6:25]>>[#6:1]-[#1].[#6]-[#6:25]-[#8:26]-[#1]	Any;Any
EVODEX.2-Bm77_0	Any	([#8:2]-[#1].[#6:1]-[#8])>>[#6:1]-[#8:2]	Any
EVODEX.2-Bm80_0	Any;Any	[#6:1]-[#8:24].[#8:2]-[#1]>>[#6:1]-[#8:2].[#15]-[#8:24]	Any;Any
EVODEX.2-Bm84_0	Any;Any;Any	[#6:1]-[#1].[#6]-[#6:71]-[#8:72]-[#1].[#8:2]=[#8]>>[#6:1]-[#8:2]-[#1].[#8:72]=[#6:71]	Any;Any
EVODEX.2-Bm102_0	Any;Any;Any	[#6:1]-[#8].[#8:2]-[#1].[#15]-[#8:32]>>[#6:1]-[#8:2].[#8:32]-[#1]	Any;Any
EVODEX.2-Bm111_0	Any;Any	[#6:1]-[#1].[#6:57]-[#6:65]-[#8:66]-[#1]>>[#6:1]-[#8].[#6:57]-[#8].[#8:66]=[#6:65]	Any;Any;Any
EVODEX.2-Bm112_0	Any	([#6:1]-[#8:63].[#8:4]-[#1])>>([#6:1]-[#8].[#8:4]-[#6]).[#8:63]-[#1]	Any;Any
EVODEX.2-Bm123_0	Any	[#16]-[#6:30]>>[#6:30]-[#8]	Any
EVODEX.2-Bm128_0	Any;Any;Any	[#6:17]1=[#6:22]-[#7:21]-[#6:20]=[#6:19]-[#6:18]-1-[#1].[#6:1]=[#8].[#7:2]-[#1]>>[#7:2]-[#6:1]-[#1].[#6:17]1:[#6:18]:[#6:19]:[#6:20]:[#7&+:21]:[#6:22]:1	Any;Any
EVODEX.2-Bm157_0	Any;Any	[#16]-[#6:30].[#7:31]-[#1]>>[#6:30]-[#7:31]	Any
EVODEX.2-Bm175_0	Any	[#6:1]-[#8]>>[#16]-[#6:1]	Any
