Name	Reactants	SMARTS	Products
EVODEX.2-Cm9_0	Any	[#6:67]-[#8:50]-[#1]>>[#6:67]-[#8:50]-[#6](=[#8])-[#6]	Any
EVODEX.2-Cm120_0	Any	[#6:71]-[#8:70]-[#6](=[#8])-[#6]>>[#6:71]-[#8:70]-[#1]	Any
EVODEX.2-Cm244_0	Any;Any	[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:102].[#8]-[#15](=[#8])(-[#8:2]-[#1])-[#8]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:102]	Any
EVODEX.2-Cm57_0	Any	[#6:12]-[#7:11](-[#6](=[#8])-[#6])-[#1]>>[#7:11](-[#6:12])(-[#1])-[#1]	Any
EVODEX.2-Cm104_0	Any	[#6:3]-[#6:1](-[#8:89]-[#1])(-[#6:4])-[#1:150]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:150].[#8]-[#15](=[#8])(-[#8:89]-[#1])-[#8]	Any;Any
EVODEX.2-Cm37_0	Any	[#7:2](-[#6:11])(-[#1])-[#1].>>[#6]-[#6](=[#8])-[#7:2](-[#6:11])-[#1].	Any
EVODEX.2-Cm62_0	Any	[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]	Any
EVODEX.2-Cm76_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1]	Any
EVODEX.2-Cm11_0	Any;Any	[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8:2]-[#1]	Any
EVODEX.2-Cm83_0	Any;Any	[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6])-[#1].[#6:3]-[#6:1](=[#8])-[#6:4]>>[#7:2](-[#6:1](-[#6:4])(-[#6:3])-[#1])(-[#1])-[#1]	Any
EVODEX.2-Cm84_0	Any	[#6:3]-[#6:1](=[#8:15])-[#6:4]>>[#7](-[#6:1](-[#6:4])(-[#6:3])-[#1])(-[#1])-[#1].[#6]-[#6](=[#8:15])-[#6]	Any;Any
EVODEX.2-Cm133_0	Any	[#6:3]-[#6:1](-[#8:92]-[#6:94])(-[#6:4])-[#1:167]>>[#6:3]-[#6:1](-[#8]-[#1])(-[#6:4])-[#1:167].[#6:94]-[#8:92]-[#15](=[#8])(-[#8])-[#8]	Any;Any
EVODEX.2-Cm141_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8:12]-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:12](-[#1])-[#1]	Any;Any
EVODEX.2-Cm377_0	Any;Any	[#7](-[#6:11](-[#6:13])(-[#6:14])-[#1])(-[#1])-[#1].[#6]-[#6](=[#8:12])-[#6]>>[#8:12]=[#6:11](-[#6:13])-[#6:14]	Any
EVODEX.2-Cm431_0	Any	[#6:13]-[#6:11](-[#7:2](-[#1])-[#1])(-[#6:14])-[#1]>>[#7:2](-[#6](-[#6])(-[#6])-[#1])(-[#1])-[#1].[#6:13]-[#6:11](=[#8])-[#6:14]	Any;Any
