Name	Reactants	SMARTS	Products
EVODEX.2-Cm284_0	Any	[#7](-[#6@])(-[#6:65](=[#8:66])-[#6:67])-[#1]>>[#6:65](=[#8:66])(-[#6:67])-[#8]-[#1]	Any
EVODEX.2-Cm285_0	Any;Any	[#7](-[#6@])(-[#6:65](=[#8:66])-[#6:67])-[#1].[#8:82](-[#1])-[#1]>>[#6:65](=[#8:66])(-[#6:67])-[#8:82]-[#1]	Any
EVODEX.2-Cm297_0	Any	[#6]-[#6](=[#8])-[#7:5](-[#6@@:6])-[#1]>>[#7:5](-[#6@@:6])(-[#1])-[#1]	Any
EVODEX.2-Cm261_0	Any	[#7:53](-[#6@@:54])(-[#1])-[#1]>>[#6]-[#6](=[#8])-[#7:53](-[#6@@:54])-[#1]	Any
EVODEX.2-Cm263_0	Any	[#6:65]-[#8:66]-[#1]>>[#6]-[#6](=[#8])-[#8:66]-[#6:65]	Any
EVODEX.2-Cm480_0	Any	[#6:3](-[#6@@:2])(=[#8:4])-[#8]-[#1]>>[#6:3](-[#6@@:2])(=[#8:4])-[#7](-[#6])-[#1]	Any
EVODEX.2-Cm60_0	Any;Any	[#8:17]-[#15:18](=[#8:19])(-[#8:20])-[#8]-[#15].[#6:32]-[#8:33]-[#1]>>[#8:17]-[#15:18](=[#8:19])(-[#8:20])-[#8:33]-[#6:32]	Any
EVODEX.2-Cm414_0	Any	[#15:18]-[#8:21]-[#15:22](=[#8:23])(-[#8:24])-[#8:25]>>[#15:18]-[#8:21]-[#1].[#15:22](=[#8:23])(-[#8:24])(-[#8:25])-[#8]-[#6]	Any;Any
EVODEX.2-Cm274_0	Any	[#6]-[#6](=[#8])-[#8:58]-[#6@@:59]>>[#8:58](-[#6@@:59])-[#1]	Any
EVODEX.2-Cm306_0	Any	[#6:4]-[#6:5](=[#8:6])-[#7:7](-[#6:8])-[#1]>>[#6:4]-[#6:5](=[#8:6])-[#8]-[#1].[#7:7](-[#6:8])(-[#1])-[#1]	Any;Any
EVODEX.2-Cm389_0	Any;Any	[#7](-[#6@@:2](-[#6:3])(-[#6:8])-[#1])(-[#1])-[#1].[#6]-[#6](=[#8:16])-[#6]>>[#6:2](-[#6:3])(-[#6:8])=[#8:16]	Any
EVODEX.2-Cm479_0	Any;Any	[#6:3](-[#6@@:2])(=[#8:4])-[#7:5](-[#6:6])-[#1].[#8:24](-[#1])-[#1]>>[#6:3](-[#6@@:2])(=[#8:4])-[#8:24]-[#1].[#7:5](-[#6:6])(-[#1])-[#1]	Any;Any
