Name	Reactants	SMARTS	Products
EVODEX.2-Cm56_0	Any	[#6:40]-[#8:39]-[#6](-[#8])(-[#6])-[#1]>>[#6:40]-[#8:39]-[#1]	Any
EVODEX.2-Cm46_0	Any	[#6:16]-[#8:2]-[#1]>>[#6:16]-[#8:2]-[#6](-[#8])(-[#6])-[#1]	Any
EVODEX.2-Cm7_0	Any	[#6:53]-[#7:52](-[#6](-[#6])=[#8])-[#1]>>[#6:53]-[#7:52](-[#1])-[#1]	Any
EVODEX.2-Cm8_0	Any	[#6:53]-[#7:50](-[#1])-[#1]>>[#6:53]-[#7:50](-[#6](-[#6])=[#8])-[#1]	Any
EVODEX.2-Cm57_0	Any	[#6:40]-[#8:39]-[#6:1](-[#8:3])(-[#6:4])-[#1:154]>>[#8:3]-[#6:1](-[#8]-[#15])(-[#6:4])-[#1:154].[#6:40]-[#8:39]-[#1]	Any;Any
EVODEX.2-Cm59_0	Any;Any	[#8:3]-[#6:1](-[#8]-[#15])(-[#6:4])-[#1:145].[#6:12]-[#8:2]-[#1]>>[#6:12]-[#8:2]-[#6:1](-[#8:3])(-[#6:4])-[#1:145]	Any
EVODEX.2-Cm314_0	Any	[#6:9]-[#6:7](-[#7:2](-[#1])-[#1])(-[#6:10])-[#1]>>[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6])-[#1].[#6:9]-[#6:7](=[#8])-[#6:10]	Any;Any
EVODEX.2-Cm320_0	Any;Any	[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6])-[#1].[#6:3]-[#6:1](=[#8])-[#6:4]>>[#6:3]-[#6:1](-[#7:2](-[#1])-[#1])(-[#6:4])-[#1]	Any
EVODEX.2-Cm325_0	Any;Any	[#6:9]-[#6:7](-[#7](-[#1])-[#1])(-[#6:10])-[#1].[#6]-[#6](=[#8:8])-[#6]>>[#6:9]-[#6:7](=[#8:8])-[#6:10]	Any
EVODEX.2-Cm326_0	Any	[#6:3]-[#6:1](=[#8:8])-[#6:4]>>[#6:3]-[#6:1](-[#7](-[#1])-[#1])(-[#6:4])-[#1].[#6]-[#6](=[#8:8])-[#6]	Any;Any
EVODEX.2-Cm101_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1]	Any
EVODEX.2-Cm107_0	Any	[#6]-[#7](-[#6:1](=[#8:3])-[#6:4])-[#1]>>[#6:4]-[#6:1](=[#8:3])-[#8]-[#1]	Any
EVODEX.2-Cm111_0	Any	[#6:31]-[#6:1](=[#8:32])-[#8:36]-[#6:37]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#6:37]-[#8:36]-[#1]	Any;Any
EVODEX.2-Cm115_0	Any;Any	[#6:3]-[#6:1](-[#8]-[#15])(-[#1:51])-[#1:52].[#8]-[#15](=[#8])(-[#8])-[#8:2]-[#15:10]>>[#6:3]-[#6:1](-[#8:2]-[#15:10])(-[#1:51])-[#1:52]	Any
EVODEX.2-Cm134_0	Any;Any	[#6:51]-[#6:49](=[#8:52])-[#16]-[#6].[#6:67]-[#8:50]-[#1]>>[#6:67]-[#8:50]-[#6:49](=[#8:52])-[#6:51]	Any
EVODEX.2-Cm291_0	Any	[#6:3]-[#6:1](-[#8:15]-[#15:17])(-[#1:49])-[#1:50]>>[#6:3]-[#6:1](-[#8]-[#15])(-[#1:49])-[#1:50].[#8]-[#15](=[#8])(-[#8])-[#8:15]-[#15:17]	Any;Any
EVODEX.2-Cm286_0	Any;Any	[#6:18]-[#6:12]1=[#6:17](-[#7:16](-[#6:21])-[#6:15](=[#6:14](-[#6:13]-1(-[#1:83])-[#1])-[#1:82])-[#1:81])-[#1:58].[#6:4]-[#6:1](-[#6:3])=[#8:2]>>[#6:4]-[#6:1](-[#6:3])(-[#8:2]-[#1])-[#1].[#6:18]-[#6:12]1:[#6:13](:[#6:14](:[#6:15](:[#7&+:16](-[#6:21]):[#6:17]:1-[#1:58])-[#1:81])-[#1:82])-[#1:83]	Any;Any
EVODEX.2-Cm245_0	Any	[#15:4]-[#8:2]-[#1]>>[#15:4]-[#8:2]-[#15](=[#8])(-[#8])-[#8]	Any
EVODEX.2-Cm45_0	Any	[#6:3]-[#6:1](-[#8:53]-[#1])(-[#6:4])-[#1:71]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:71].[#8:53](-[#1])-[#1]	Any;Any
EVODEX.2-Cm51_0	Any;Any	[#6:3]-[#6:1](-[#6:4])(-[#8]-[#6])-[#1:105].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:105]	Any
EVODEX.2-Cm52_0	Any;Any	[#6:51]-[#6:49](=[#8:52])-[#16:1]-[#6:2].[#6:53]-[#8:50]-[#1]>>[#6:2]-[#16:1]-[#1].[#6:53]-[#8:50]-[#6:49](-[#6:51])=[#8:52]	Any;Any
EVODEX.2-Cm75_0	Any;Any	[#6:3]-[#6:1](-[#8:38]-[#1])(-[#1:40])-[#1:41].[#6:19]-[#8:2]-[#1]>>[#6:3]-[#6:1](-[#8:2]-[#6:19])(-[#1:40])-[#1:41].[#8:38](-[#1])-[#1]	Any;Any
EVODEX.2-Cm77_0	Any	[#6:3]-[#6:1](-[#8:34]-[#1])(-[#1:36])-[#1:37]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#1:36])-[#1:37].[#8:34](-[#1])-[#1]	Any;Any
EVODEX.2-Cm102_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8:21]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1].[#8:21](-[#1])-[#1]	Any;Any
EVODEX.2-Cm112_0	Any	[#6:29]-[#8:28]-[#6](-[#1])(-[#1])-[#1]>>[#6:29]-[#8:28]-[#1]	Any
EVODEX.2-Cm127_0	Any;Any	[#6:27](-[#16&+](-[#6])-[#6])(-[#1:42])(-[#1:43])-[#1:44].[#6:29]-[#8:28]-[#1]>>[#6:29]-[#8:28]-[#6:27](-[#1:42])(-[#1:43])-[#1:44]	Any
EVODEX.2-Cm128_0	Any	[#6:29]-[#8:28]-[#6:1](-[#1:70])(-[#1:71])-[#1:72]>>[#6:1](-[#16&+](-[#6])-[#6])(-[#1:70])(-[#1:71])-[#1:72].[#6:29]-[#8:28]-[#1]	Any;Any
EVODEX.2-Cm133_0	Any;Any	[#6:3]-[#16:2]-[#1].[#6:71]-[#8:70]-[#6:1](=[#8:50])-[#6:51]>>[#6:51]-[#6:1](=[#8:50])-[#16:2]-[#6:3].[#6:71]-[#8:70]-[#1]	Any;Any
EVODEX.2-Cm143_0	Any;Any	[#6:3]-[#16:2]-[#6:4].[#6:29]-[#8:28]-[#6:1](-[#1:62])(-[#1:63])-[#1:64]>>[#6:1](-[#16&+:2](-[#6:4])-[#6:3])(-[#1:62])(-[#1:63])-[#1:64].[#6:29]-[#8:28]-[#1]	Any;Any
EVODEX.2-Cm144_0	Any;Any	[#6:27](-[#16&+:1](-[#6:2])-[#6:3])(-[#1:38])(-[#1:39])-[#1:40].[#6:29]-[#8:28]-[#1]>>[#6:3]-[#16:1]-[#6:2].[#6:29]-[#8:28]-[#6:27](-[#1:38])(-[#1:39])-[#1:40]	Any;Any
EVODEX.2-Cm162_0	Any	[#6:2]-[#16:1]-[#6:30](=[#8:32])-[#6:33]>>[#6:2]-[#16:1]-[#1].[#6]-[#7](-[#6:30](=[#8:32])-[#6:33])-[#1]	Any;Any
EVODEX.2-Cm168_0	Any;Any	[#6:3]-[#16:2]-[#1].[#6]-[#7](-[#6:1](=[#8:50])-[#6:51])-[#1]>>[#6:51]-[#6:1](=[#8:50])-[#16:2]-[#6:3]	Any
EVODEX.2-Cm243_0	Any	[#6:29]-[#8:28]-[#1]>>[#6:29]-[#8:28]-[#6](-[#1])(-[#1])-[#1]	Any
EVODEX.2-Cm271_0	Any;Any	[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8:2]-[#1]	Any
EVODEX.2-Cm354_0	Any;Any	[#7:2](-[#6:39](-[#6:41])(-[#6:42])-[#1])(-[#1])-[#1].[#6:3]-[#6:1](=[#8:40])-[#6:4]>>[#6:3]-[#6:1](-[#7:2](-[#1])-[#1])(-[#6:4])-[#1].[#6:41]-[#6:39](=[#8:40])-[#6:42]	Any;Any
EVODEX.2-Cm283_0	Any	[#6:3]-[#6:1](=[#8:2])-[#6:4]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1]	Any
EVODEX.2-Cm132_0	Any;Any	[#8:6](-[#1])-[#1].[#8:8]-[#15:7](=[#8:9])(-[#8:10])-[#8]-[#15]>>[#8:8]-[#15:7](=[#8:9])(-[#8:6]-[#1])-[#8:10]	Any
EVODEX.2-Cm97_0	Any;Any	[#6:31]-[#6:1](=[#8:32])-[#8:46]-[#1].[#8:48]-[#15:47](=[#8:49])(-[#8:50])-[#8]-[#15]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:48]-[#15:47](=[#8:49])(-[#8:46]-[#1])-[#8:50]	Any;Any
EVODEX.2-Cm195_0	Any;Any	[#6]-[#16]-[#6:30](=[#8:32])-[#6:33].[#15:38]-[#8:36]-[#1]>>[#6:33]-[#6:30](=[#8:32])-[#8]-[#1].[#15:38]-[#8:36]-[#15](=[#8])(-[#8])-[#8]	Any;Any
EVODEX.2-Cm19_0	Any;Any	[#6:2]-[#6:1](-[#8:21]-[#1])(-[#6:3])-[#1:26].[#8:13]=[#6:12]=[#8:20]>>[#6:2]-[#6:1](-[#6:3])(-[#1:26])-[#1].[#6]-[#6](=[#8])-[#6:12](=[#8:20])-[#8:13]-[#1].[#8:21]=[#8]	Any;Any;Any
EVODEX.2-Cm20_0	Any;Any	[#6:2]-[#6:1](-[#8:21]-[#1])(-[#6:3])-[#1:26].[#8:14]=[#6:11](-[#8:22]-[#1])-[#6:15]>>[#6:2]-[#6:1](-[#6:3])(-[#1:26])-[#1].[#6:15]-[#6:11](=[#8:14])-[#6](=[#8])-[#8].[#8:21]=[#8:22]	Any;Any;Any
EVODEX.2-Cm21_0	Any;Any	[#6:2]-[#6:1](-[#8:21]-[#1])(-[#6:3])-[#1:26].[#8]=[#6](-[#8:22]-[#1])-[#6]>>[#6:2]-[#6:1](-[#6:3])(-[#1:26])-[#1].[#8:21]=[#8:22]	Any;Any
EVODEX.2-Cm22_0	Any;Any	[#6:3]-[#6:1](-[#6:4])(-[#1:26])-[#1].[#8:2]=[#8]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:26]	Any
EVODEX.2-Cm23_0	Any;Any	[#6:3]-[#6:1](-[#6:4])(-[#1:26])-[#1].[#8:2]=[#8:13]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:26].[#8]=[#6](-[#8:13]-[#1])-[#6]	Any;Any
EVODEX.2-Cm24_0	Any;Any;Any	[#6:2]-[#6:1](-[#8:20]-[#1])(-[#6:3])-[#1:23].[#8:13]=[#6:10](-[#8:21]-[#1])-[#6:14].[#8:12]=[#6:11]=[#8:19]>>[#6:2]-[#6:1](-[#6:3])(-[#1:23])-[#1].[#6:14]-[#6:10](=[#8:13])-[#6:11](=[#8:19])-[#8:12]-[#1].[#8:20]=[#8:21]	Any;Any;Any
EVODEX.2-Cm25_0	Any	[#6:2]-[#6:1](-[#8]-[#1])(-[#6:3])-[#1:23]>>[#6:2]-[#6:1](-[#6:3])(-[#1:23])-[#1]	Any
EVODEX.2-Cm26_0	Any	[#6:2]-[#6:1](-[#8:20]-[#1])(-[#6:3])-[#1:23]>>[#6:2]-[#6:1](-[#6:3])(-[#1:23])-[#1].[#8:20]=[#8]	Any;Any
EVODEX.2-Cm27_0	Any	[#6:3]-[#6:1](-[#6:4])(-[#1:25])-[#1]>>[#6:3]-[#6:1](-[#8]-[#1])(-[#6:4])-[#1:25]	Any
EVODEX.2-Cm28_0	Any;Any	[#6:3]-[#6:1](-[#6:4])(-[#1:25])-[#1].[#6:13]-[#6:11](=[#8:14])-[#6](=[#8])-[#8]>>[#6:3]-[#6:1](-[#8]-[#1])(-[#6:4])-[#1:25].[#8:14]=[#6:11](-[#8]-[#1])-[#6:13]	Any;Any
EVODEX.2-Cm29_0	Any;Any	[#6:3]-[#16:2]-[#6](=[#8])-[#6].[#6:50]-[#6:1](=[#8:51])-[#8]-[#1]>>[#6:50]-[#6:1](=[#8:51])-[#16:2]-[#6:3]	Any
EVODEX.2-Cm49_0	Any	[#6:43]-[#8:42]-[#6](-[#6])(-[#6])-[#8]>>[#6:43]-[#8:42]-[#1]	Any
