Name	Reactants	SMARTS	Products
EVODEX.2-Dm371_0	Any	[#6]-[#6](=[#8])-[#7:5](-[#6@@:6])-[#1]>>[#7:5](-[#6@@:6])(-[#1])-[#1]	Any
EVODEX.2-Dm350_0	Any	[#7](-[#6@])(-[#6:65](=[#8:66])-[#6:67])-[#1]>>[#6:65](=[#8:66])(-[#6:67])-[#8]-[#1]	Any
EVODEX.2-Dm351_0	Any;Any	[#7](-[#6@])(-[#6:65](=[#8:66])-[#6:67])-[#1].[#8:82](-[#1])-[#1]>>[#6:65](=[#8:66])(-[#6:67])-[#8:82]-[#1]	Any
EVODEX.2-Dm321_0	Any	[#7:53](-[#6@@:54])(-[#1])-[#1]>>[#6]-[#6](=[#8])-[#7:53](-[#6@@:54])-[#1]	Any
EVODEX.2-Dm624_0	Any	[#6:17](-[#6@@:16])(=[#8:18])-[#8]-[#1]>>[#7](-[#6@])(-[#6:17](-[#6@:16])=[#8:18])-[#1]	Any
EVODEX.2-Dm329_0	Any	[#6:87]-[#8:88]-[#1]>>[#6](=[#8])(-[#6])-[#8:88]-[#6:87]	Any
EVODEX.2-Dm514_0	Any;Any	[#15](=[#8])-[#8]-[#15:26](=[#8:27])(-[#8:28])-[#8:29].[#8:31](-[#6:32])-[#1]>>[#15:26](=[#8:27])(-[#8:28])(-[#8:29])-[#8:31]-[#6:32]	Any
EVODEX.2-Dm513_0	Any	[#15:18](=[#8:19])-[#8:21]-[#15:22](=[#8:23])(-[#8:24])-[#8:25]>>[#15:18](=[#8:19])-[#8:21]-[#1].[#15:22](=[#8:23])(-[#8:24])(-[#8:25])-[#8]-[#6]	Any;Any
EVODEX.2-Dm340_0	Any	[#6]-[#6](=[#8])-[#8:66]-[#6:67]>>[#8:66](-[#6:67])-[#1]	Any
EVODEX.2-Dm908_0	Any	[#6:21]-[#6:22](=[#8:23])-[#8:24]-[#1]>>[#6:21]-[#6:22](=[#8:23])-[#7](-[#6])-[#1].[#8:24](-[#15](-[#8])(=[#8])-[#8])-[#1]	Any;Any
EVODEX.2-Dm909_0	Any;Any	[#6:21]-[#6:22](=[#8:23])-[#8]-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:57]-[#15:58]=[#8:59]>>[#6:21]-[#6:22](=[#8:23])-[#7](-[#6])-[#1].[#8:57](-[#15:58]=[#8:59])-[#1]	Any;Any
EVODEX.2-Dm911_0	Any;Any	[#8]-[#15](=[#8])(-[#8])-[#8:40]-[#15:41]=[#8:42].[#7:7](-[#6@@:8])(-[#1])-[#1]>>[#6]-[#6](=[#8])-[#7:7](-[#6@@:8])-[#1].[#8:40](-[#15:41]=[#8:42])-[#1]	Any;Any
EVODEX.2-Dm480_0	Any;Any	[#7](-[#6@@:2](-[#6:3])(-[#6:8]=[#8:9])-[#1])(-[#1])-[#1].[#6]-[#6](=[#8:16])-[#6]=[#8]>>[#6:2](-[#6:3])(-[#6:8]=[#8:9])=[#8:16]	Any
