Name	Reactants	SMARTS	Products
EVODEX.2-Dm46_0	Any	[#6:16]-[#8:2]-[#1]>>[#6:16]-[#8:2]-[#6](-[#8])(-[#6])-[#1]	Any
EVODEX.2-Dm56_0	Any	[#6:40]-[#8:39]-[#6](-[#8])(-[#6])-[#1]>>[#6:40]-[#8:39]-[#1]	Any
EVODEX.2-Dm7_0	Any	[#6:53]-[#7:52](-[#6](-[#6])=[#8])-[#1]>>[#6:53]-[#7:52](-[#1])-[#1]	Any
EVODEX.2-Dm8_0	Any	[#6:53]-[#7:50](-[#1])-[#1]>>[#6:53]-[#7:50](-[#6](-[#6])=[#8])-[#1]	Any
EVODEX.2-Dm57_0	Any	[#6:40]-[#8:39]-[#6:1](-[#8:3])(-[#6:4])-[#1:154]>>[#8:3]-[#6:1](-[#8]-[#15]=[#8])(-[#6:4])-[#1:154].[#6:40]-[#8:39]-[#1]	Any;Any
EVODEX.2-Dm59_0	Any;Any	[#8:3]-[#6:1](-[#8]-[#15]=[#8])(-[#6:4])-[#1:145].[#6:12]-[#8:2]-[#1]>>[#6:12]-[#8:2]-[#6:1](-[#8:3])(-[#6:4])-[#1:145]	Any
EVODEX.2-Dm102_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1]	Any
EVODEX.2-Dm108_0	Any	[#6]-[#7](-[#6:1](=[#8:3])-[#6:4])-[#1]>>[#6:4]-[#6:1](=[#8:3])-[#8]-[#1]	Any
EVODEX.2-Dm116_0	Any;Any	[#6:3]-[#6:1](-[#8]-[#15]=[#8])(-[#1:51])-[#1:52].[#8]-[#15](=[#8])(-[#8])-[#8:2]-[#15:10]=[#8:11]>>[#6:3]-[#6:1](-[#8:2]-[#15:10]=[#8:11])(-[#1:51])-[#1:52]	Any
EVODEX.2-Dm305_0	Any	[#6:3]-[#6:1](-[#8:15]-[#15:17]=[#8:18])(-[#1:49])-[#1:50]>>[#6:3]-[#6:1](-[#8]-[#15]=[#8])(-[#1:49])-[#1:50].[#8]-[#15](=[#8])(-[#8])-[#8:15]-[#15:17]=[#8:18]	Any;Any
EVODEX.2-Dm338_0	Any	[#6:9]-[#6:7](-[#7:2](-[#1])-[#1])(-[#6:10]=[#8:13])-[#1]>>[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6]=[#8])-[#1].[#6:9]-[#6:7](=[#8])-[#6:10]=[#8:13]	Any;Any
EVODEX.2-Dm345_0	Any;Any	[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6]=[#8])-[#1].[#6:3]-[#6:1](=[#8])-[#6:4]=[#8:5]>>[#6:3]-[#6:1](-[#7:2](-[#1])-[#1])(-[#6:4]=[#8:5])-[#1]	Any
EVODEX.2-Dm351_0	Any;Any	[#6:9]-[#6:7](-[#7](-[#1])-[#1])(-[#6:10]=[#8:12])-[#1].[#6]-[#6](=[#8:8])-[#6]=[#8]>>[#6:9]-[#6:7](=[#8:8])-[#6:10]=[#8:12]	Any
EVODEX.2-Dm352_0	Any	[#6:3]-[#6:1](=[#8:8])-[#6:4]=[#8:5]>>[#6:3]-[#6:1](-[#7](-[#1])-[#1])(-[#6:4]=[#8:5])-[#1].[#6]-[#6](=[#8:8])-[#6]=[#8]	Any;Any
EVODEX.2-Dm254_0	Any	[#15:4](=[#8:6])-[#8:2]-[#1]>>[#15:4](=[#8:6])-[#8:2]-[#15](=[#8])(-[#8])-[#8]	Any
