id,smarts,sources,hash
EVODEX.2-Em44,[#6:16]-[#8:2]-[#1]>>[#6:16]-[#8:2]-[#6](-[#8])(-[#6])-[#1],"EVODEX.2-P1045,EVODEX.2-P105,EVODEX.2-P1076,EVODEX.2-P1077,EVODEX.2-P1123,EVODEX.2-P1124,EVODEX.2-P1127,EVODEX.2-P1149,EVODEX.2-P1167,EVODEX.2-P1489,EVODEX.2-P1492,EVODEX.2-P1493,EVODEX.2-P1494,EVODEX.2-P1495,EVODEX.2-P1567,EVODEX.2-P159,EVODEX.2-P1703,EVODEX.2-P1803,EVODEX.2-P195,EVODEX.2-P1962,EVODEX.2-P199,EVODEX.2-P200,EVODEX.2-P202,EVODEX.2-P2033,EVODEX.2-P2035,EVODEX.2-P2238,EVODEX.2-P2318,EVODEX.2-P2349,EVODEX.2-P2371,EVODEX.2-P2372,EVODEX.2-P2396,EVODEX.2-P2408,EVODEX.2-P2433,EVODEX.2-P2438,EVODEX.2-P2448,EVODEX.2-P2456,EVODEX.2-P2458,EVODEX.2-P2462,EVODEX.2-P2487,EVODEX.2-P2495,EVODEX.2-P2497,EVODEX.2-P2527,EVODEX.2-P2531,EVODEX.2-P2576,EVODEX.2-P2581,EVODEX.2-P2623,EVODEX.2-P2628,EVODEX.2-P2683,EVODEX.2-P2837,EVODEX.2-P288,EVODEX.2-P298,EVODEX.2-P3781,EVODEX.2-P380,EVODEX.2-P3821,EVODEX.2-P3866,EVODEX.2-P3870,EVODEX.2-P3876,EVODEX.2-P401,EVODEX.2-P402,EVODEX.2-P569,EVODEX.2-P68,EVODEX.2-P81,EVODEX.2-P872,EVODEX.2-P89,EVODEX.2-P916",31215936292187085935354989550792638892655628222918569713998180219061139030201
EVODEX.2-Em54,[#6:40]-[#8:39]-[#6](-[#8])(-[#6])-[#1]>>[#6:40]-[#8:39]-[#1],"EVODEX.2-P1041,EVODEX.2-P1055,EVODEX.2-P1063,EVODEX.2-P1064,EVODEX.2-P1066,EVODEX.2-P1084,EVODEX.2-P1128,EVODEX.2-P1129,EVODEX.2-P1131,EVODEX.2-P1262,EVODEX.2-P1280,EVODEX.2-P1283,EVODEX.2-P1284,EVODEX.2-P1301,EVODEX.2-P1302,EVODEX.2-P1303,EVODEX.2-P1314,EVODEX.2-P1316,EVODEX.2-P1322,EVODEX.2-P1323,EVODEX.2-P1325,EVODEX.2-P1334,EVODEX.2-P1337,EVODEX.2-P1354,EVODEX.2-P1355,EVODEX.2-P1359,EVODEX.2-P1360,EVODEX.2-P1375,EVODEX.2-P1376,EVODEX.2-P1377,EVODEX.2-P1378,EVODEX.2-P1379,EVODEX.2-P1384,EVODEX.2-P1423,EVODEX.2-P1424,EVODEX.2-P1425,EVODEX.2-P1458,EVODEX.2-P1566,EVODEX.2-P1569,EVODEX.2-P166,EVODEX.2-P1707,EVODEX.2-P1778,EVODEX.2-P1789,EVODEX.2-P1804,EVODEX.2-P1818,EVODEX.2-P192,EVODEX.2-P201,EVODEX.2-P2329,EVODEX.2-P2450,EVODEX.2-P2529,EVODEX.2-P2622,EVODEX.2-P2681,EVODEX.2-P270,EVODEX.2-P281,EVODEX.2-P296,EVODEX.2-P3830,EVODEX.2-P3868,EVODEX.2-P408,EVODEX.2-P690,EVODEX.2-P691,EVODEX.2-P803,EVODEX.2-P804,EVODEX.2-P82,EVODEX.2-P83,EVODEX.2-P913",29082743957763582669861678912473128062430887236943654446604957471252252091249
EVODEX.2-Em7,[#6:53]-[#7:52](-[#6](-[#6])=[#8])-[#1]>>[#6:53]-[#7:52](-[#1])-[#1],"EVODEX.2-P1020,EVODEX.2-P1057,EVODEX.2-P1304,EVODEX.2-P1310,EVODEX.2-P1321,EVODEX.2-P1352,EVODEX.2-P1353,EVODEX.2-P1735,EVODEX.2-P1828,EVODEX.2-P1832,EVODEX.2-P1833,EVODEX.2-P1841,EVODEX.2-P1842,EVODEX.2-P21,EVODEX.2-P213,EVODEX.2-P2146,EVODEX.2-P2148,EVODEX.2-P23,EVODEX.2-P2477,EVODEX.2-P2478,EVODEX.2-P2479,EVODEX.2-P2667,EVODEX.2-P2793,EVODEX.2-P2794,EVODEX.2-P3293,EVODEX.2-P3407,EVODEX.2-P3411,EVODEX.2-P3414,EVODEX.2-P3498,EVODEX.2-P3501,EVODEX.2-P3517,EVODEX.2-P3519,EVODEX.2-P624,EVODEX.2-P7,EVODEX.2-P748",112964657775986726577325843846435053441253355507887323218030258603058816686035
EVODEX.2-Em8,[#6:53]-[#7:50](-[#1])-[#1]>>[#6:53]-[#7:50](-[#6](-[#6])=[#8])-[#1],"EVODEX.2-P1062,EVODEX.2-P1117,EVODEX.2-P1152,EVODEX.2-P1682,EVODEX.2-P1845,EVODEX.2-P1852,EVODEX.2-P1854,EVODEX.2-P1860,EVODEX.2-P2134,EVODEX.2-P2202,EVODEX.2-P2287,EVODEX.2-P24,EVODEX.2-P2490,EVODEX.2-P2491,EVODEX.2-P2493,EVODEX.2-P2604,EVODEX.2-P2641,EVODEX.2-P2673,EVODEX.2-P2689,EVODEX.2-P2691,EVODEX.2-P3304,EVODEX.2-P3307,EVODEX.2-P3308,EVODEX.2-P3310,EVODEX.2-P337,EVODEX.2-P3452,EVODEX.2-P44,EVODEX.2-P806,EVODEX.2-P807,EVODEX.2-P9",20274906149468687421161210613925219309797621901645010715603491958459940763762
EVODEX.2-Em96,[#6:31]-[#6:1](=[#8:32])-[#8:46]-[#1].[#8:48]-[#15:47](=[#8:49])(-[#8:50])-[#8]-[#15](=[#8])(-[#8])-[#8]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:48]-[#15:47](=[#8:49])(-[#8:46]-[#1])-[#8:50],"EVODEX.2-P1252,EVODEX.2-P1268,EVODEX.2-P1269,EVODEX.2-P1271,EVODEX.2-P1272,EVODEX.2-P1273,EVODEX.2-P1289,EVODEX.2-P1299,EVODEX.2-P1318,EVODEX.2-P1363,EVODEX.2-P1367,EVODEX.2-P1408,EVODEX.2-P1417,EVODEX.2-P1419,EVODEX.2-P212,EVODEX.2-P215,EVODEX.2-P415,EVODEX.2-P418,EVODEX.2-P420,EVODEX.2-P426,EVODEX.2-P437,EVODEX.2-P444,EVODEX.2-P460,EVODEX.2-P461,EVODEX.2-P467,EVODEX.2-P472,EVODEX.2-P473,EVODEX.2-P474,EVODEX.2-P476,EVODEX.2-P909",37290270636108062398781321800061503950755360667392640476909831681111496320053
EVODEX.2-Em194,[#6]-[#16]-[#6:30](=[#8:32])-[#6:33].[#8:39]-[#15:38](=[#8:40])(-[#8:36]-[#1])-[#8:41]>>[#6:33]-[#6:30](=[#8:32])-[#8]-[#1].[#8:39]-[#15:38](=[#8:40])(-[#8:41])-[#8:36]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P1203,EVODEX.2-P1524,EVODEX.2-P1528,EVODEX.2-P1530,EVODEX.2-P1535,EVODEX.2-P1536,EVODEX.2-P1540,EVODEX.2-P1635,EVODEX.2-P1699,EVODEX.2-P1815,EVODEX.2-P2078,EVODEX.2-P2276,EVODEX.2-P2440,EVODEX.2-P2460,EVODEX.2-P2735,EVODEX.2-P477,EVODEX.2-P481,EVODEX.2-P482,EVODEX.2-P487,EVODEX.2-P488,EVODEX.2-P489,EVODEX.2-P490,EVODEX.2-P545,EVODEX.2-P558,EVODEX.2-P565,EVODEX.2-P578,EVODEX.2-P580,EVODEX.2-P581,EVODEX.2-P586,EVODEX.2-P591",101345340308435213778522182636246614681802162148606944322839215905612955360831
EVODEX.2-Em55,[#6:40]-[#8:39]-[#6:1](-[#8:3])(-[#6:4])-[#1:154]>>[#8:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#6:4])-[#1:154].[#6:40]-[#8:39]-[#1],"EVODEX.2-P1054,EVODEX.2-P1580,EVODEX.2-P1582,EVODEX.2-P178,EVODEX.2-P1802,EVODEX.2-P1805,EVODEX.2-P1978,EVODEX.2-P2163,EVODEX.2-P2164,EVODEX.2-P2179,EVODEX.2-P2682,EVODEX.2-P2802,EVODEX.2-P2842,EVODEX.2-P3596,EVODEX.2-P3643,EVODEX.2-P3673,EVODEX.2-P3676,EVODEX.2-P3678,EVODEX.2-P3848,EVODEX.2-P3853,EVODEX.2-P397,EVODEX.2-P683,EVODEX.2-P802,EVODEX.2-P84,EVODEX.2-P94",99454504008253660309732879984413030564086865501827364900801231335200537613686
EVODEX.2-Em57,[#8:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#6:4])-[#1:145].[#6:12]-[#8:2]-[#1]>>[#6:12]-[#8:2]-[#6:1](-[#8:3])(-[#6:4])-[#1:145],"EVODEX.2-P103,EVODEX.2-P1049,EVODEX.2-P1083,EVODEX.2-P1085,EVODEX.2-P155,EVODEX.2-P1581,EVODEX.2-P1662,EVODEX.2-P1954,EVODEX.2-P2023,EVODEX.2-P2165,EVODEX.2-P2180,EVODEX.2-P2612,EVODEX.2-P2800,EVODEX.2-P2981,EVODEX.2-P3687,EVODEX.2-P3688,EVODEX.2-P3815,EVODEX.2-P382,EVODEX.2-P3855,EVODEX.2-P3856,EVODEX.2-P3869,EVODEX.2-P400,EVODEX.2-P688,EVODEX.2-P870,EVODEX.2-P88",24717415470390817476929994417775141036366158217107485853479356861590514314968
EVODEX.2-Em97,[#6:3]-[#16:2]-[#1].[#6:31]-[#6:1](=[#8:32])-[#8]-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:35]-[#15:36](=[#8:37])(-[#8:38])-[#8:39]>>[#6:3]-[#16:2]-[#6:1](=[#8:32])-[#6:31].[#8:37]=[#15:36](-[#8:35]-[#1])(-[#8:38])-[#8:39],"EVODEX.2-P1108,EVODEX.2-P1109,EVODEX.2-P1236,EVODEX.2-P1251,EVODEX.2-P1255,EVODEX.2-P1260,EVODEX.2-P1264,EVODEX.2-P1292,EVODEX.2-P1333,EVODEX.2-P1405,EVODEX.2-P1409,EVODEX.2-P1410,EVODEX.2-P1411,EVODEX.2-P1414,EVODEX.2-P1416,EVODEX.2-P214,EVODEX.2-P439,EVODEX.2-P455,EVODEX.2-P459,EVODEX.2-P471",21246340178575437136714012854154270637042168195833302873560925974943978218359
EVODEX.2-Em99,[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1],"EVODEX.2-P1081,EVODEX.2-P1779,EVODEX.2-P1781,EVODEX.2-P1857,EVODEX.2-P1944,EVODEX.2-P2072,EVODEX.2-P217,EVODEX.2-P2205,EVODEX.2-P2356,EVODEX.2-P2492,EVODEX.2-P2494,EVODEX.2-P2719,EVODEX.2-P2726,EVODEX.2-P276,EVODEX.2-P2909,EVODEX.2-P2911,EVODEX.2-P3333,EVODEX.2-P334,EVODEX.2-P3366,EVODEX.2-P3421",87517083460207283284024329235000052591267119143861413719776771473091666691681
