Name	Reactants	SMARTS	Products
EVODEX.2-Em9_0	Any	[#6:67]-[#8:50]-[#1]>>[#6:67]-[#8:50]-[#6](=[#8])-[#6]	Any
EVODEX.2-Em124_0	Any	[#6:71]-[#8:70]-[#6](=[#8])-[#6]>>[#6:71]-[#8:70]-[#1]	Any
EVODEX.2-Em250_0	Any;Any	[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:102].[#8]-[#15](=[#8])(-[#8:2]-[#1])-[#8]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:102]	Any
EVODEX.2-Em59_0	Any	[#6:12]-[#7:11](-[#6](=[#8])-[#6])-[#1]>>[#7:11](-[#6:12])(-[#1])-[#1]	Any
EVODEX.2-Em108_0	Any	[#6:3]-[#6:1](-[#8:89]-[#1])(-[#6:4])-[#1:150]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:150].[#8]-[#15](=[#8])(-[#8:89]-[#1])-[#8]	Any;Any
EVODEX.2-Em168_0	Any;Any;Any	[#6:51]-[#6:49](=[#8:52])-[#16]-[#6].[#8:70]-[#15:69](=[#8:71])(-[#8:67]-[#1])-[#8:72].[#8:91]=[#15:68](-[#8:50]-[#1])(-[#8:92])-[#8:93]>>[#6:51]-[#6:49](=[#8:52])-[#8:50]-[#1].[#8:70]-[#15:69](=[#8:71])(-[#8:72])-[#8:67]-[#15:68](=[#8:91])(-[#8:92])-[#8:93]	Any;Any
EVODEX.2-Em177_0	Any;Any	[#6:31]-[#6:1](=[#8:32])-[#8:58]-[#1].[#8:60]-[#15:59](=[#8:61])(-[#8:62])-[#8:49]-[#15:50](=[#8:51])(-[#8:52])-[#8:53]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:51]=[#15:50](-[#8:49]-[#1])(-[#8:52])-[#8:53].[#8:60]-[#15:59](=[#8:61])(-[#8:58]-[#1])-[#8:62]	Any;Any;Any
EVODEX.2-Em37_0	Any	[#7:2](-[#6:11])(-[#1])-[#1].>>[#6]-[#6](=[#8])-[#7:2](-[#6:11])-[#1].	Any
EVODEX.2-Em63_0	Any	[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]	Any
EVODEX.2-Em77_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1]	Any
EVODEX.2-Em11_0	Any;Any	[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8:2]-[#1]	Any
EVODEX.2-Em138_0	Any	[#6:3]-[#6:1](-[#8:92]-[#6:94])(-[#6:4])-[#1:167]>>[#6:3]-[#6:1](-[#8]-[#1])(-[#6:4])-[#1:167].[#6:94]-[#8:92]-[#15](=[#8])(-[#8])-[#8]	Any;Any
EVODEX.2-Em146_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8:12]-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:12](-[#1])-[#1]	Any;Any
EVODEX.2-Em23_0	Any	[#8:5]-[#15:4](=[#8:6])(-[#8:2]-[#1])-[#8:7]>>[#8:5]-[#15:4](=[#8:6])(-[#8:7])-[#8:2]-[#15](=[#8])(-[#8])-[#8]	Any
