Name	Reactants	SMARTS	Products
EVODEX.2-Em375_0	Any	[#6]-[#6](=[#8])-[#7:5](-[#6@@:6])-[#1]>>[#7:5](-[#6@@:6])(-[#1])-[#1]	Any
EVODEX.2-Em354_0	Any	[#7](-[#6@])(-[#6:65](=[#8:66])-[#6:67])-[#1]>>[#6:65](=[#8:66])(-[#6:67])-[#8]-[#1]	Any
EVODEX.2-Em355_0	Any;Any	[#7](-[#6@])(-[#6:65](=[#8:66])-[#6:67])-[#1].[#8:82](-[#1])-[#1]>>[#6:65](=[#8:66])(-[#6:67])-[#8:82]-[#1]	Any
EVODEX.2-Em873_0	Any;Any	[#6:18]-[#6:19](=[#8:20])-[#8:21]-[#1].[#8:50]-[#15:51](=[#8:52])(-[#8:53])-[#8:54]-[#15:55](=[#8:56])(-[#8:57])-[#8:58]>>[#6:18]-[#6:19](=[#8:20])-[#7](-[#6])-[#1].[#8:21](-[#15:51](-[#8:50])(=[#8:52])-[#8:53])-[#1].[#8:54](-[#15:55](=[#8:56])(-[#8:57])-[#8:58])-[#1]	Any;Any;Any
EVODEX.2-Em321_0	Any	[#7:53](-[#6@@:54])(-[#1])-[#1]>>[#6]-[#6](=[#8])-[#7:53](-[#6@@:54])-[#1]	Any
EVODEX.2-Em876_0	Any;Any	[#8]-[#15](=[#8])(-[#8])-[#8:40]-[#15:41](=[#8:42])(-[#8:43])-[#8:44].[#7:7](-[#6@@:8])(-[#1])-[#1]>>[#6]-[#6](=[#8])-[#7:7](-[#6@@:8])-[#1].[#8:40](-[#15:41](=[#8:42])(-[#8:43])-[#8:44])-[#1]	Any;Any
EVODEX.2-Em617_0	Any	[#6:17](-[#6@@:16])(=[#8:18])-[#8]-[#1]>>[#7](-[#6@])(-[#6:17](-[#6@:16])=[#8:18])-[#1]	Any
EVODEX.2-Em329_0	Any	[#6:87]-[#8:88]-[#1]>>[#6](=[#8])(-[#6])-[#8:88]-[#6:87]	Any
EVODEX.2-Em515_0	Any;Any	[#8]-[#15](=[#8])(-[#8])-[#8]-[#15:26](=[#8:27])(-[#8:28])-[#8:29].[#8:31](-[#6:32])-[#1]>>[#15:26](=[#8:27])(-[#8:28])(-[#8:29])-[#8:31]-[#6:32]	Any
EVODEX.2-Em514_0	Any	[#8:17]-[#15:18](=[#8:19])(-[#8:20])-[#8:21]-[#15:22](=[#8:23])(-[#8:24])-[#8:25]>>[#8:17]-[#15:18](=[#8:19])(-[#8:20])-[#8:21]-[#1].[#15:22](=[#8:23])(-[#8:24])(-[#8:25])-[#8]-[#6]	Any;Any
EVODEX.2-Em344_0	Any	[#6]-[#6](=[#8])-[#8:66]-[#6:67]>>[#8:66](-[#6:67])-[#1]	Any
EVODEX.2-Em874_0	Any	[#6:21]-[#6:22](=[#8:23])-[#8:24]-[#1]>>[#6:21]-[#6:22](=[#8:23])-[#7](-[#6])-[#1].[#8:24](-[#15](-[#8])(=[#8])-[#8])-[#1]	Any;Any
