Name	Reactants	SMARTS	Products
EVODEX.2-Em44_0	Any	[#6:16]-[#8:2]-[#1]>>[#6:16]-[#8:2]-[#6](-[#8])(-[#6])-[#1]	Any
EVODEX.2-Em54_0	Any	[#6:40]-[#8:39]-[#6](-[#8])(-[#6])-[#1]>>[#6:40]-[#8:39]-[#1]	Any
EVODEX.2-Em7_0	Any	[#6:53]-[#7:52](-[#6](-[#6])=[#8])-[#1]>>[#6:53]-[#7:52](-[#1])-[#1]	Any
EVODEX.2-Em8_0	Any	[#6:53]-[#7:50](-[#1])-[#1]>>[#6:53]-[#7:50](-[#6](-[#6])=[#8])-[#1]	Any
EVODEX.2-Em96_0	Any;Any	[#6:31]-[#6:1](=[#8:32])-[#8:46]-[#1].[#8:48]-[#15:47](=[#8:49])(-[#8:50])-[#8]-[#15](=[#8])(-[#8])-[#8]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:48]-[#15:47](=[#8:49])(-[#8:46]-[#1])-[#8:50]	Any;Any
EVODEX.2-Em194_0	Any;Any	[#6]-[#16]-[#6:30](=[#8:32])-[#6:33].[#8:39]-[#15:38](=[#8:40])(-[#8:36]-[#1])-[#8:41]>>[#6:33]-[#6:30](=[#8:32])-[#8]-[#1].[#8:39]-[#15:38](=[#8:40])(-[#8:41])-[#8:36]-[#15](=[#8])(-[#8])-[#8]	Any;Any
EVODEX.2-Em55_0	Any	[#6:40]-[#8:39]-[#6:1](-[#8:3])(-[#6:4])-[#1:154]>>[#8:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#6:4])-[#1:154].[#6:40]-[#8:39]-[#1]	Any;Any
EVODEX.2-Em57_0	Any;Any	[#8:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#6:4])-[#1:145].[#6:12]-[#8:2]-[#1]>>[#6:12]-[#8:2]-[#6:1](-[#8:3])(-[#6:4])-[#1:145]	Any
EVODEX.2-Em97_0	Any;Any;Any	[#6:3]-[#16:2]-[#1].[#6:31]-[#6:1](=[#8:32])-[#8]-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:35]-[#15:36](=[#8:37])(-[#8:38])-[#8:39]>>[#6:3]-[#16:2]-[#6:1](=[#8:32])-[#6:31].[#8:37]=[#15:36](-[#8:35]-[#1])(-[#8:38])-[#8:39]	Any;Any
EVODEX.2-Em99_0	Any	[#6:3]-[#6:1](=[#8:4])-[#8]-[#1]>>[#6]-[#7](-[#6:1](=[#8:4])-[#6:3])-[#1]	Any
EVODEX.2-Em105_0	Any	[#6]-[#7](-[#6:1](=[#8:3])-[#6:4])-[#1]>>[#6:4]-[#6:1](=[#8:3])-[#8]-[#1]	Any
EVODEX.2-Em106_0	Any;Any	[#6:17]-[#7:16](-[#6:1](=[#8:3])-[#6:4])-[#1].[#8:46]=[#15:23](-[#8:2]-[#1])(-[#8:47])-[#8:48]>>[#6:4]-[#6:1](=[#8:3])-[#8:2]-[#1].[#6:17]-[#7:16](-[#1])-[#1].[#8]-[#15](=[#8])(-[#8])-[#8]-[#15:23](=[#8:46])(-[#8:47])-[#8:48]	Any;Any;Any
EVODEX.2-Em113_0	Any;Any	[#6:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#1:51])-[#1:52].[#8]-[#15](=[#8])(-[#8])-[#8:2]-[#15:10](=[#8:11])(-[#8:12])-[#8:13]>>[#6:3]-[#6:1](-[#8:2]-[#15:10](=[#8:11])(-[#8:12])-[#8:13])(-[#1:51])-[#1:52]	Any
