id,smarts,confidence
0,[*:1]-[*:2].([C&D2&v4&H2&+0&!R&z0:3]-[C@&D3&v4&H1&+0&!R&z1:4](-[N&D1&v3&H2&+0&!R:5])-[C&D3&v4&H0&+0&!R&z2:6].[S&D1&v2&H1&+0&!R:7])>>([*:1]-[S&D2&v2&H0&+0&!R:7].[C&D2&v4&H2&+0&!R&z0:3]-[C@@&D3&v4&H1&+0&!R&z1:4](-[N&D1&v3&H2&+0&!R:5])-[C&D3&v4&H0&+0&!R&z2:6]).[-:2],0.8250231962196835
1,[*:1].[#1:2]-[#1:3]>>[#1:2]-[*:1]-[#1:3],0.763455514056775
2,([O&D1&v2&H1&+0&!R:1].[c&D3&v4&H0&+0&R&z1:2]:[c&D3&v4&H0&+0&R&z0:3](/[C&D2&v4&H1&+0&!R&z0:4]=[C&D3&v4&H0&+0&!R&z1:5](/[C&D3&v4&H0&+0&!R&z1:6])-[*:7]):[c&D3&v4&H0&+0&R&z1:8]:[c&D3&v4&H0&+0&R&z1:9]:[c&D3&v4&H0&+0&R&z1:10])>>[c&D3&v4&H0&+0&R&z1:2]:[c&D3&v4&H0&+0&R&z1:9]:[c&D3&v4&H0&+0&R&z0:3](-[C&D3&v4&H1&+0&R&z1:4](-[O&D2&v2&H0&+0&R:1])-[C&D3&v4&H1&+0&R&z1:5](-[C&D3&v4&H0&+0&R&z1:6])-[*:7]):[c&D3&v4&H0&+0&R&z1:8]:[c&D3&v4&H0&+0&R&z1:10],0.2622010531464073
3,[*:1]/[C&D3&v4&H0&+0&!R&z3:2](-[S&D2&v2&H0&+0&!R:3]-[C@&D3&v4&H1&+0&R&z2:4]1-[O&D2&v2&H0&+0&R:5]-[C@&D3&v4&H1&+0&R&z1:6](-[C&D2&v4&H2&+0&!R&z1:7])-[C@@&D3&v4&H1&+0&R&z1:8](-[O&D1&v2&H1&+0&!R:9])-[C@&D3&v4&H1&+0&R&z1:10](-[O&D1&v2&H1&+0&!R:11])-[C@@&D3&v4&H1&+0&R&z1:12]-1-[O&D1&v2&H1&+0&!R:13])=[N&D2&v3&H0&+0&!R:14]/[O&D2&v2&H0&+0&!R:15].[O&D0&v2&H2&+0&!R:16]>>[*:1]/[C&D3&v4&H0&+0&!R&z3:2](-[S&D1&v2&H1&+0&!R:3])=[N&D2&v3&H0&+0&!R:14]/[O&D2&v2&H0&+0&!R:15].[C&D2&v4&H2&+0&!R&z1:7]-[C@@&D3&v4&H1&+0&R&z1:6]1-[O&D2&v2&H0&+0&R:5]-[C&D3&v4&H1&+0&R&z2:4](-[O&D1&v2&H1&+0&!R:16])-[C@&D3&v4&H1&+0&R&z1:12](-[O&D1&v2&H1&+0&!R:13])-[C@@&D3&v4&H1&+0&R&z1:10](-[O&D1&v2&H1&+0&!R:11])-[C@&D3&v4&H1&+0&R&z1:8]-1-[O&D1&v2&H1&+0&!R:9],0.5832762217247076
4,[*:1]/[C&D3&v4&H0&+0&!R&z3:2](=[N&D2&v3&H0&+0&!R:3]/[O&D2&v2&H0&+0&!R:4])-[S&D1&v2&H1&+0&!R:5].[C&D3&v4&H1&+0&R&z2:6]1(-[O&D1&v2&H1&+0&!R:7])-[O&D2&v2&H0&+0&R:8]-[C@&D3&v4&H1&+0&R&z1:9](-[C&D2&v4&H2&+0&!R&z1:10])-[C@@&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C@&D3&v4&H1&+0&R&z1:13](-[O&D1&v2&H1&+0&!R:14])-[C@@&D3&v4&H1&+0&R&z1:15]-1-[O&D1&v2&H1&+0&!R:16]>>[*:1]/[C&D3&v4&H0&+0&!R&z3:2](=[N&D2&v3&H0&+0&!R:3]/[O&D2&v2&H0&+0&!R:4])-[S&D2&v2&H0&+0&!R:5]-[C@&D3&v4&H1&+0&R&z2:6]1-[O&D2&v2&H0&+0&R:8]-[C@&D3&v4&H1&+0&R&z1:9](-[C&D2&v4&H2&+0&!R&z1:10])-[C@@&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C@&D3&v4&H1&+0&R&z1:13](-[O&D1&v2&H1&+0&!R:14])-[C@@&D3&v4&H1&+0&R&z1:15]-1-[O&D1&v2&H1&+0&!R:16].[O&D0&v2&H2&+0&!R:7],0.5476564670907044
5,[*:1]/[C&D3&v4&H0&+0&!R&z3:2](=[N&D2&v3&H0&+0&!R:3]/[O&D2&v2&H0&+0&!R:4]-[S&D4&v6&H0&+0&!R:5]=[O&D1&v2&H0&+0&!R:6])-[S&D1&v2&H1&+0&!R:7]>>[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D1&v2&H0&+0&!R:4]=[S&D4&v6&H0&+0&!R:5]-[O&D1&v2&H1&+0&!R:6].[S&D0&v2&H2&+0&!R:7],0.3861278511067143
6,[*:1]/[C&D3&v4&H0&+0&!R&z3:2](=[N&D2&v3&H0&+0&!R:3]/[O&D2&v2&H0&+0&!R:4])-[S&D1&v2&H1&+0&!R:5]>>[*:1]-[N&D2&v3&H0&+0&!R:3]=[C&D2&v4&H0&+0&!R&z2:2]=[S&D1&v2&H0&+0&!R:5].[O&D1&v2&H1&+0&!R:4],0.3812549970350342
7,[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C&D3&v4&H0&+0&R&z0:12]-[C&D4&v4&H0&+0&R&z0:13]-[C&D2&v4&H2&+0&R&z0:14]>>([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C&D2&v4&H1&+0&!R&z0:12].[C&D2&v4&H1&+0&!R&z0:14]=[C&D3&v4&H0&+0&!R&z0:13]),0.5828918614452733
8,([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C&D2&v4&H1&+0&!R&z0:12].[C&D2&v4&H1&+0&!R&z0:13]=[C&D3&v4&H0&+0&!R&z0:14])>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C&D3&v4&H0&+0&R&z0:12]-[C&D4&v4&H0&+0&R&z0:14]-[C&D2&v4&H2&+0&R&z0:13],0.6567435780619912
9,([*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C&D2&v4&H1&+0&!R&z0:12]=[C&D3&v4&H0&+0&!R&z0:13]/[C&D2&v4&H2&+0&!R&z0:14].[C&D2&v4&H1&+0&!R&z0:15]=[C&D3&v4&H0&+0&!R&z0:16])>>[*:1]/[C&D2&v4&H1&+0&!R&z1:2]=[C&D3&v4&H0&+0&!R&z0:3](-[C&D1&v4&H3&+0&!R&z0:4])/[C&D2&v4&H1&+0&!R&z0:5]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H1&+0&!R&z0:7]=[C&D3&v4&H0&+0&!R&z0:8](-[C&D1&v4&H3&+0&!R&z0:9])/[C&D2&v4&H1&+0&!R&z0:10]=[C&D2&v4&H1&+0&!R&z0:11]/[C@@&D3&v4&H1&+0&R&z0:12](-[C&D3&v4&H0&+0&R&z0:13]=[C&D2&v4&H1&+0&R&z0:14])-[C&D4&v4&H0&+0&R&z0:16]-[C&D2&v4&H2&+0&R&z0:15],0.6036893997263502
