Name	Reactants	SMARTS	Products
94_0	Any;WATER	[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4].[OH2;D0;+0:5]>>[#15:1]-[OH;D1;+0:2].[C:4]-[CH2;D2;+0:3]-[OH;D1;+0:5]	Any;Any
94_1	Any;WATER	[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4].[OH2;D0;+0:5]>>[#15:1]-[OH;D1;+0:2].[C:4]-[CH2;D2;+0:3]-[OH;D1;+0:5]	PPI;Any
94_2	Any;WATER	[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4].[OH2;D0;+0:5]>>[#15:1]-[OH;D1;+0:2].[C:4]-[CH2;D2;+0:3]-[OH;D1;+0:5]	Pi;Any
1237_0	Any;WATER	[#8:1]-[C:2]-[O;H0;D2;+0:3]-[CH;D3;+0:4](-[#8:5]-[C:6]=[C:7])-[C:8]-[C:9]=[C;D1;H2:10].[OH2;D0;+0:11]>>[#8:1]-[C:2]-[OH;D1;+0:3].[C:7]=[C:6]-[#8:5]-[CH;D3;+0:4](-[OH;D1;+0:11])-[C:8]-[C:9]=[C;D1;H2:10]	Any;Any
1250_0	Any;CoA	[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C:5]-[C:6]=[C:7].[C:8]-[SH;D1;+0:9]>>[C:8]-[S;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3].[C:7]=[C:6]-[C:5]-[OH;D1;+0:4]	Any;Any
132_0	Any;Any	[C:1]-[OH;D1;+0:2].[C:3]-[S;H0;D2;+0:4]-[C;H0;D3;+0:5](-[C:6])=[O;D1;H0:7]>>[C:6]-[C;H0;D3;+0:5](=[O;D1;H0:7])-[O;H0;D2;+0:2]-[C:1].[C:3]-[SH;D1;+0:4]	Any;Any
132_1	Any;Any	[C:1]-[OH;D1;+0:2].[C:3]-[S;H0;D2;+0:4]-[C;H0;D3;+0:5](-[C:6])=[O;D1;H0:7]>>[C:6]-[C;H0;D3;+0:5](=[O;D1;H0:7])-[O;H0;D2;+0:2]-[C:1].[C:3]-[SH;D1;+0:4]	Any;CoA
2478_0	Any;Any	[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C;D1;H3:7]-[CH;D3;+0:8](-[OH;D1;+0:9])-[C:10]-[C:11](=[O;D1;H0:12])-[O;D1;H1:13]>>[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:8](-[C;D1;H3:7])-[C:10]-[C:11](=[O;D1;H0:12])-[O;D1;H1:13].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:9]	Any;Any
2478_1	PHOSPHATE_DONOR_CoF;Any	[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C;D1;H3:7]-[CH;D3;+0:8](-[OH;D1;+0:9])-[C:10]-[C:11](=[O;D1;H0:12])-[O;D1;H1:13]>>[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:8](-[C;D1;H3:7])-[C:10]-[C:11](=[O;D1;H0:12])-[O;D1;H1:13].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:9]	Any;PHOSPHATE_ACCEPTOR_CoF
198_0	Any;Any	[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:4].[C:5]-[OH;D1;+0:6]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:6]-[C:5].[OH2;D0;+0:4]	Any;WATER
