Name	Reactants	SMARTS	Products
0_0	Any	[#6:3][C:2]#[N:1]>>[#6:3]-[#6:2]-[#8H1]	Any
1_0	Any	[#6:1]-[#6:2](=[O:3])-[#8X2:4]-[#6:5]>>[#6:1]-[#6:2](=[O:3])-[#8X2]-[C].[#8X2:4]-[#6:5]	Any;Any
2_0	Any	[#6:5]-[#8X2:4]-[#6:1](=[O:6])-[#8:2]-[#6:3]>>[#6:3]-[#8:2]-[#6:1](=[O:6])-[#8]-[#6].[#6:5]-[#8X2:4]	Any;Any
3_0	Any	[#6:5][#6H2:6]([#7H2;R0:3])>>[#6:5][#6H1:6](=[#8])	Any
4_0	Any	[#6H3:1]-[#6H2:2]-[#6H2:3]-[#6H2:4]>>[#6:4]-[#6:3]-[#6:2]-[#6:1]-[#6]=[O]	Any
5_0	Any	[#6:1][#6X2H0:2]#[NX3H0:3]>>[#6:1][#6X3H1:2](=[O])	Any
6_0	Any	[#6:10]-[#6H0;R0:1](=[OH0:2])[OH1:3]>>[#6:10]-[#6:1]=[O:2]	Any
7_0	Any	[#6:1][#6H2:2][#8H1:4]>>[#6:1][#6H1:2]=[#8:4]	Any
8_0	Any	[#6:1][#6:2]([OH:3])[#6:5]([OH:4])[#6H0:6](=[O:7])[#6H2:8][OH:9]>>[#6:1][#6:2](=[O:3]).[OH:4][#6H2:5][#6H0:6](=[O:7])[#6H2:8][OH:9]	Any;Any
9_0	Any	[#6:1][#6:2]([OH:3])[#6:5]([OH:4])[#6H0:6](=[O:7])[#6H2:8][O:9][P:10](=[O:11])([O:12])[O:13]>>[#6:1][#6:2](=[O:3]).[OH:4][#6:5][#6:6](=[O:7])[#6H2:8][O:9][P:10](=[O:11])([O:12])[O:13]	Any;Any
10_0	Any	[#6X4:1]-[#6X4:2](-[OH:3])-[#6X4:4]-[#6X3:5]=[OH0:6]>>[#6X4:1]-[#6X3:2]=[OH0:3].[#6X4:4]-[#6X3:5]=[OH0:6]	Any;Any
11_0	Any	[#6X4:1]-[#6:2](-[OH:3])-[#6X4:4]-[#6H0;R0:5](=[OH0:6])-[#6X4:7]>>[#6X4:1]-[#6H1:2]=[OH0:3].[#6X4:4]-[#6H0;R0:5](=[OH0:6])-[#6X4:7]	Any;Any
12_0	Any	[#6X4:1]-[#6:2](-[OH:3])-[#6H1R1:4]-[#6H0:5](=[O:6])-[#6:7]>>[#6X4:1]-[#6H1:2]=[O:3].[#6H2;R1:4]-[#6H0:5](=[O:6])-[#6:7]	Any;Any
13_0	Any	[#6X4;z1:2]([OH:3])[#6H2:4][#6H0:5](=[O:6])[#6H0:7](=[O:8])[OH:9]>>[#6X4;z1:2](=[O:3]).[#6H3:4][#6H0:5](=[O:6])[#6H0:7](=[O:8])[OH:9]	Any;Any
14_0	Any	[#6:1][#6:2]([OH:3])[#6:5]([NH2:4])[#6H0:6](=[O:7])[OH:8]>>[#6:1][#6:2](=[O:3]).[NH2:4][#6H2:5][#6H0:6](=[O:7])[OH:8]	Any;Any
15_0	Any	[#6:1][C:2]#[N:3]>>[#6:1]\[#6H1:2]=[#7:3]/[#8]	Any
16_0	Any	[#6:1]-[#6X4:2]-1-[OH0:5]-[#6z1:3]-1>>[#6:1]-[#6:2]=[#6:3]	Any
17_0	Any	[#6:1][#6H0;R0:2](=[O:3])-[NX3:5]>>[#6:1][#6H0;R0:2](=[O:3])[OH].[Nh1X3:5]	Any;Any
18_0	Any	[#6:1][#6;H0:2](=[OH0:3])[OH:4]>>[#6:1][#6:2](=[O:3])[NH][#6X4]	Any
19_0	Any	[#6X4:5][NH2:6]>>[#6][#6](=[O])[NH:6][#6X4:5]	Any
20_0	Any	[c:6]1[c:7][c:2](-[OH:1])[c:3][c:4][c:5]1-[#6:8]-[#6h1:9](-[NH2:20])-[#6:11](=[O:12])-[OH:13]>>[c:6]1[c:7][c:2](-[O:1])[c:3][c:4][c:5]1.[#6:8]-[#6H0:9](=[O])-[#6:11](=[O:12])-[OH:13]	Any;Any
21_0	Any	[#6:1][#6H1:2]=[NX2:3]>>[#6:1][#6H2:2][N:3]	Any
22_0	Any	[#6:1][#6H0:2]([#6:4])=[NX2:3]>>[#6:1][#6@@H1:2]([#6:4])[N:3]	Any
23_0	Any	[#6:3]-[#6:2](=[O:6])-[#6:1](-[#8H1:4])=[O:5]>>[#6:3]-[#6@@H:2](-[NH2])-[#6:1](-[#8H:4])=[O:5]	Any
24_0	Any	[#6:3]-[#6:2](=[O:6])-[#6:1](-[#8H1:4])=[O:5]>>[#6:3]-[#6@H:2](-[NH2])-[#6:1](-[#8H:4])=[O:5]	Any
25_0	Any	[#6:1][#6H0;R0:2](=[O:3])-[NX3:5]>>[#6:1][#6H0;R0:2](=[O:3])[O]-[#6].[Nh1X3:5]	Any;Any
26_0	Any	[#6:5]-[#7H1:4]-[#6:1](=[O:6])-[#8:2]-[#6:3]>>[#6:3]-[#8:2]-[#6:1](=[O:6])-[#8]-[#6].[#6:5]-[#7:4]	Any;Any
27_0	Any	[#6:1]-[#6H1:2](-[NH1;R0:10])-[#6H2:3]-[#6:4]=[O:5]>>[#6:1]-[#6H1:2]=[#6H1:3]-[#6:4]=[O:5].[NH2;R0:10]	Any;Any
28_0	Any	[#6:1]-[#6:2](-[NH1;R0:10])-[#6:3]-[#6:4]-[N:5](-[O:6])-[O:7]>>[#6:1]-[#6:2]=[#6:3]-[#6:4]-[N:5](-[O:6])-[O:7].[NH2;R0:10]	Any;Any
29_0	Any	[#6:1][#6:2]([NH1;R0:10])[#6:3][#6:4]#[N:6]>>[#6:1][#6:2]=[#6:3][#6:4]#[N:6].[NH2;R0:10]	Any;Any
