name,min,25%,median,mean,75%,max
mechinferred_dt_91_rules,3,3.0,5.0,5.83228886899433,8.0,17
mechinferred_dt_13_rules,3,6.0,10.0,10.805555555555555,15.0,40
mechinferred_dt_04_rules,3,9.0,14.0,16.901661615633817,20.0,137
mechinferred_dt_02_rules,3,13.0,25.0,27.50567554784802,36.0,178
mechinferred_dt_01_rules,3,16.0,29.0,30.725779275484413,39.0,187
rc_plus_0_rules,3,4.0,6.0,6.695736434108527,9.0,15
rc_plus_1_rules,3,6.0,8.0,8.889249373248783,12.0,31
rc_plus_2_rules,3,10.0,12.0,13.41559238796808,17.0,35
rc_plus_3_rules,3,12.0,16.0,17.150462962962962,22.0,44
rc_plus_4_rules,3,14.0,21.0,20.757401953185553,27.0,51
mechinformed_rules,3,4.0,7.0,7.638487208008899,9.0,36
rdchiral_rules,3,8.0,10.0,11.197804431795081,14.0,31
imt_rules,3,3.0,3.0,4.541006394217403,6.0,15
