Organism,Compound Name,Chemical Formula,Mol. Wt.,SMILES,Common-Name,Object ID
GCF_009937745,CPD-731,C12H17O3,209.264,CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O),(+)-7-<i>epi</i>-jasmonate,CPD-731
MED4,CPD-731,C12H17O3,209.264,CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O),(+)-7-<i>epi</i>-jasmonate,CPD-731
PPUT160488,CPD-731,C12H17O3,209.264,CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O),(+)-7-<i>epi</i>-jasmonate,CPD-731
GCF_000014565,CPD-22361,C10H16O2,168.235,C[C@H]1(CC[C@@H]2([C@H]1C(O)O\C=C(C)/2)),"(+)-<i>cis,cis</i>-nepetalactol",CPD-22361
GCF_000046845,CPD-22361,C10H16O2,168.235,C[C@H]1(CC[C@@H]2([C@H]1C(O)O\C=C(C)/2)),"(+)-<i>cis,cis</i>-nepetalactol",CPD-22361
GCF_009937745,CPD-22361,C10H16O2,168.235,C[C@H]1(CC[C@@H]2([C@H]1C(O)O\C=C(C)/2)),"(+)-<i>cis,cis</i>-nepetalactol",CPD-22361
GCF_000014565,CPD-15030,C10H16O2,168.235,C[C@H]1(CC[C@H]2([C@@H]1C(O)O\C=C(C)/2)),"(+)-<i>cis,trans</i>-nepetalactol",CPD-15030
GCF_000046845,CPD-15030,C10H16O2,168.235,C[C@H]1(CC[C@H]2([C@@H]1C(O)O\C=C(C)/2)),"(+)-<i>cis,trans</i>-nepetalactol",CPD-15030
GCF_009937745,CPD-15030,C10H16O2,168.235,C[C@H]1(CC[C@H]2([C@@H]1C(O)O\C=C(C)/2)),"(+)-<i>cis,trans</i>-nepetalactol",CPD-15030
ECOLI,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
GCF_000014565,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
GCF_000046845,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
GCF_009937745,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
MTBH37RV,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
PPUT160488,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
YARROWIA,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
YEAST,CPD-20431,C20H34O1,290.488,C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)),(+)-kolavelool,CPD-20431
GCF_000014565,CPD-15124,C6H5O4,141.103,C(=O)(C[C@H]1(\C=C/C(=O)O1))[O-],(+)-muconolactone,CPD-15124
GCF_000046845,CPD-15124,C6H5O4,141.103,C(=O)(C[C@H]1(\C=C/C(=O)O1))[O-],(+)-muconolactone,CPD-15124
MTBH37RV,CPD-15124,C6H5O4,141.103,C(=O)(C[C@H]1(\C=C/C(=O)O1))[O-],(+)-muconolactone,CPD-15124
PPUT160488,CPD-15124,C6H5O4,141.103,C(=O)(C[C@H]1(\C=C/C(=O)O1))[O-],(+)-muconolactone,CPD-15124
ECOLI,--TRANS-ACENAPHTHENE-12-DIOL,C12H10O2,186.21,C2(\C=C1(\C=C/C=C3(C1=C(\C=2)[C@@H]([C@H]3O)O))),"(+/-)-<i>trans</i>-acenaphthene-1,2-diol",--TRANS-ACENAPHTHENE-12-DIOL
